DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
04022026|524654|0000000000000406|0000000000067518|0000000000000406|0000000000064224|100.00
04022026|524661|0000000000883601|0000000000273917|0000000000883601|0000000000273916|100.00
04022026|524663|0000000000060505|0000000001249429|0000000000113926|0000000002344691|053.11
04022026|524667|0000000000000442|0000000000157772|0000000000000561|0000000000200733|078.79
04022026|524669|0000000000000042|0000000000064179|0000000000000056|0000000000085520|075.00
04022026|524675|0000000000030316|0000000000496577|0000000000053459|0000000000904091|056.71
04022026|524687|0000000000049703|0000000000507468|0000000000071239|0000000000712733|069.77
04022026|524703|0000000000001604|0000000000054376|0000000000001912|0000000000065374|083.89
04022026|524709|0000000000018409|0000000002532158|0000000000024527|0000000003314692|075.06
04022026|524711|0000000000008717|0000000000067557|0000000000010971|0000000000087457|079.45
04022026|524715|0000000000628915|0000001071671160|0000000000695926|0000001185837677|090.37
04022026|524717|0000000000003969|0000000004003928|0000000000006085|0000000006203644|065.23
04022026|524731|0000000000004269|0000000004512120|0000000000006707|0000000006994180|063.65
04022026|524735|0000000000002683|0000000000526405|0000000000005099|0000000000997626|052.62
04022026|524742|0000000000001298|0000000002478726|0000000000002681|0000000005074504|048.41
04022026|524743|0000000000159610|0000000006440264|0000000000233421|0000000009358380|068.38
04022026|524748|0000000000000542|0000000000015621|0000000000000556|0000000000015688|097.48
04022026|524752|0000000000003652|0000000000031919|0000000000003652|0000000000029781|100.00
04022026|524768|0000000000002492|0000000000069353|0000000000002614|0000000000071407|095.33
04022026|524774|0000000000003839|0000000008400692|0000000000004060|0000000008830654|094.56
04022026|524790|0000000000000230|0000000000095462|0000000000000306|0000000000128951|075.16
04022026|524804|0000000000018507|0000000022424932|0000000000050623|0000000060930738|036.56
04022026|524808|0000000000000956|0000000000026013|0000000000001138|0000000000031614|084.01
04022026|524816|0000000000018349|0000000015441601|0000000000041486|0000000035333010|044.23
04022026|524818|0000000000007304|0000000000864064|0000000000008495|0000000001011856|085.98
04022026|524820|0000000000001442|0000000000432384|0000000000001808|0000000000537701|079.76
04022026|524824|0000000000000260|0000000000018211|0000000000000260|0000000000018074|100.00
04022026|524828|0000000000000285|0000000000106106|0000000000000444|0000000000165302|064.19
04022026|526001|0000000000006676|0000000000143534|0000000000006676|0000000000143534|100.00
04022026|526025|0000000000011199|0000000000143236|0000000000014315|0000000000183137|078.23
04022026|526027|0000000000017827|0000000002079520|0000000000027238|0000000003245170|065.45
04022026|526043|0000000000000486|0000000000023708|0000000000000493|0000000000024039|098.58
04022026|526071|0000000000005528|0000000003734010|0000000000005528|0000000003734010|100.00
04022026|526073|0000000000001417|0000000000714452|0000000000002043|0000000001014299|069.36
04022026|526075|0000000000002010|0000000000033828|0000000000002010|0000000000033828|100.00
