SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,4864.95,4864.95,4675,4693.3,4693.3,4861.55,1543,7781,36768405,
500003,"AEGIS LOGISTICS LTD.",A,STK,687.55,690,670.5,672.9,671.15,691.3,561,8361,5668270,
500008,"Amara Raja Energy & Mobility L",A,STK,861.1,863.2,844.2,854.3,854.3,866.1,9298,125529,106897988,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,26.64,26.78,25.5,25.93,26,26.51,296,105869,2793304,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,46.56,47.49,45.5,45.58,45.58,46.56,436,30996,1430497,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.16,3.2,3.16,3.2,3.2,3.22,12,4031,12743,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.98,4.98,4.51,4.85,4.7,4.78,113,36377,173500,
500016,"ARUNA HOTELS LTD.",X,STK,8.24,8.51,7.7,7.83,7.83,8.23,35,12405,100363,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,122.05,122.05,116.4,116.9,117.05,122.65,694,37637,4481999,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,313,318.2,309,311.45,309,314.35,108,4317,1355866,
500027,"ATUL LTD.",A,STK,5909.6,5909.6,5650,5682,5682,5929.6,582,1424,8210102,
500028,"ATV PROJECTS INDIA LTD.",X,STK,35.66,37.23,34,34.41,34.4,37.29,321,74133,2617250,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,421.15,467.95,386.8,412.75,412.75,422.5,20310,1173167,524239508,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,17.01,17.1,16.2,16.32,16.32,17.13,1556,508118,8464590,
500033,"FORCE MOTORS LTD.",A,STK,21271,21271.15,20465.25,20795.8,20795.8,21302.2,1871,5059,105554589,
500034,"BAJAJ FINANCE LIMITED",A,STK,976,976,928.05,933.5,933.5,971.2,20620,355589,335554343,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,410.1,417.05,408,410.4,410.4,415.45,551,8678,3574639,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,615,618.8,569.4,574.15,580.4,612.1,1616,28956,17282669,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1470.75,1470.75,1359.2,1370.15,1370.15,1482.65,2379,33452,46750078,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3585.05,3659.5,3520,3553.05,3558.5,3580.4,21,106,378412,
500042,"BASF INDIA LTD.",A,STK,3600.95,3611.1,3543.9,3580.5,3580.7,3610.9,367,1208,4322672,
500043,"BATA INDIA LTD.",A,STK,893,912.9,882.9,887.95,887.95,894.7,1376,17078,15203513,
500048,"BEML LTD.",A,STK,1767.65,1771.5,1711,1716.8,1712,1768.4,1616,16637,28961694,
500049,"BHARAT ELECTRONICS LTD.",A,STK,413.2,415.5,406.25,409,409,412.85,19584,1243362,511841142,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,84.72,85.13,82.53,82.91,82.91,85.45,260,13091,1098416,
500058,"BIHAR SPONGE IRON LTD.",X,STK,10.55,11.14,9.51,10.19,10.3,10.95,215,39303,402707,
500059,"BIL VYAPAR LIMITED",T,STK,7.39,7.39,7.09,7.24,7.35,7.46,6,1192,8581,
500060,"Birla Cable Limited",B,STK,130.05,130.05,124.8,124.8,124.8,131.1,122,3036,386128,
500067,"BLUE STAR LTD.",A,STK,1760.05,1777.65,1727.35,1745.75,1743.35,1767.75,1848,11302,19811189,
500068,"DISA INDIA LTD.",B,STK,11990,12082,11200,11517.7,11639.6,11955,38,165,1893346,
