SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,6009.6,6009.6,5851.65,5979.3,5991.5,6065.9,4395,14645,86739851,
500003,"AEGIS LOGISTICS LTD.",A,STK,657.05,657.05,644,649.3,652.95,664.4,958,14535,9439583,
500008,"Amara Raja Energy & Mobility L",A,STK,804.95,804.95,785,786.9,786.9,807.45,2330,30526,24121780,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,24.21,24.69,23.9,24.28,24.28,25.03,248,54214,1311359,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,38.6,39.93,37.2,38.27,38.27,41,706,106254,4079291,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.91,3.91,3.84,3.84,3.84,3.91,8,4300,16533,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.35,4.35,4,4.07,4.12,4.11,47,4902,19956,
500016,"ARUNA HOTELS LTD.",X,STK,7.2,7.69,7.15,7.2,7.2,7.27,30,15872,114187,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,104,104.7,101.4,102.1,101.9,107.05,851,55725,5703358,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,282.55,294.75,282.55,289.95,289.95,295.2,190,3593,1043001,
500027,"ATUL LTD.",A,STK,6388,6388,6110.15,6150.45,6140,6420.25,422,16020,99983492,
500028,"ATV PROJECTS INDIA LTD.",X,STK,31.6,32.7,30.95,31.14,31.2,32.6,212,21375,670073,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,354.85,360.5,341.7,354.35,354,356.65,527,208876,74126557,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,15.31,17.17,15.31,16.4,16.4,16.08,2485,980006,16224563,
500033,"FORCE MOTORS LTD.",A,STK,20999.95,20999.95,19888,20646.9,20646.9,21333.3,5470,16169,330350174,
500034,"BAJAJ FINANCE LIMITED",A,STK,929.2,941,910,938.45,938.45,950,20503,816204,755968129,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,475.35,497.95,470.7,492.8,492.8,480.8,2851,100212,48954654,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,572,579,553.8,561.1,560.4,582.35,1542,30823,17251717,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1210,1211.35,1175.85,1189.25,1185.65,1231.35,509,7111,8509323,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3554.05,3554.05,3554,3554,3554,3587.8,2,5,17770,
500042,"BASF INDIA LTD.",A,STK,3420,3420,3295,3310.5,3324.8,3437.8,557,2143,7136365,
500043,"BATA INDIA LTD.",A,STK,732.15,734,715,716.8,720,743.8,1931,21574,15515909,
500048,"BEML LTD.",A,STK,1625.3,1633.8,1569,1577.55,1580.1,1653.5,2881,29519,46730501,
500049,"BHARAT ELECTRONICS LTD.",A,STK,469.8,470,450.05,457.5,457.5,468.35,15096,1025397,467063589,
500051,"BHAGAWATI GAS LIMITED",X,STK,1.07,1.07,1.07,1.07,1.07,1.02,8,1739,1860,
