SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5784.4,5853,5725,5793,5793,5784.4,1207,5228,30350594,
500003,"AEGIS LOGISTICS LTD.",A,STK,711.25,711.25,691.95,700.5,703,711.3,879,9651,6771706,
500008,"Amara Raja Energy & Mobility L",A,STK,861,861,835,842.35,842.35,862.35,4577,60565,51002728,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,26.8,29.85,26.35,28.58,28.58,25.93,1280,411284,11774843,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,43.9,44.11,43.2,43.55,43.35,44.29,319,35527,1543199,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.34,3.34,3.34,3.34,3.34,3.28,2,600,2004,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.98,4.98,4.57,4.63,4.63,4.83,66,16891,79692,
500016,"ARUNA HOTELS LTD.",X,STK,8.49,8.49,8.01,8.48,8.48,8.3,14,1732,14369,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,119.5,120.65,116.3,117.05,117.05,119.5,635,36837,4343073,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,293.15,295,249.9,257.1,257.7,287.45,205,4777,1308205,
500027,"ATUL LTD.",A,STK,6575.05,6652.55,6499,6617.3,6553.5,6636.95,454,1309,8611467,
500028,"ATV PROJECTS INDIA LTD.",X,STK,35.99,36.44,34.8,36.08,36,36.03,80,8653,310603,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,384.95,384.95,375.75,377.9,377.9,385,403,6624,2506090,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,17.28,17.28,16.34,16.39,16.39,17.4,1048,360823,6038171,
500033,"FORCE MOTORS LTD.",A,STK,23800,24105.95,23065,23832.65,23869,23824.05,1966,4982,117357698,
500034,"BAJAJ FINANCE LIMITED",A,STK,999.8,1032,993.4,1024.1,1024.1,999.8,29040,5842010,5907872187,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,464.55,470.4,455,465.3,466.3,460.4,829,14173,6581474,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,688.15,688.15,656.7,661.8,661.8,691.65,2750,60889,40807327,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1411.75,1412.35,1371.1,1388.5,1389,1415.25,835,10662,14787092,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3553.05,3611,3553.05,3579,3579,3553.05,7,15,53854,
500042,"BASF INDIA LTD.",A,STK,3711.65,3772,3635.6,3659.85,3659.85,3771.3,870,3705,13695814,
500043,"BATA INDIA LTD.",A,STK,865.55,879.95,845,854.5,854.5,884.55,1712,17877,15456130,
500048,"BEML LTD.",A,STK,1734.85,1748.2,1701.3,1736.8,1730,1740.05,1340,16007,27734811,
500049,"BHARAT ELECTRONICS LTD.",A,STK,444.35,446.15,432.85,435.4,435.4,443.85,10421,885950,390803373,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,85.53,85.53,83.8,84.46,84.45,86.05,205,17589,1489164,
500058,"BIHAR SPONGE IRON LTD.",X,STK,14.95,16.78,14.12,15.43,15.43,14.61,1230,641070,10066079,
500059,"BIL VYAPAR LIMITED",T,STK,7.22,7.22,7.15,7.15,7.15,7.21,11,3104,22197,
500060,"Birla Cable Limited",B,STK,142.15,145.15,141.2,142.75,142.25,142.95,70,741,106069,
500067,"BLUE STAR LTD.",A,STK,1958,2015,1953.25,1996.5,1996.5,1974.75,3758,42191,83923448,
500068,"DISA INDIA LTD.",B,STK,13300.1,13300.1,12651.1,12790.05,12651.1,13310.9,121,283,3674041,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,287,287,274.5,274.95,274.5,277.1,164,6686,1882266,
500074,"BPL LTD.",B,STK,58.5,59.15,58,58.18,58.18,59.7,94,1978,115192,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,317.95,317.95,295.1,298.8,295.1,323.85,170,707,215668,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,22.25,22.5,21.8,22.1,22.1,22.75,139,10673,237601,
500084,"CESC LTD.",A,STK,154,154,149.55,150.3,150.05,154.05,2597,136615,20627489,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,453.3,458,449.3,453.45,454.9,460.4,1893,81796,37081630,
500086,"EXIDE INDUSTRIES LTD.",A,STK,337.65,340.45,332.15,336.25,335.3,337.7,1645,52739,17732192,
500087,"CIPLA LTD.",A,STK,1326.05,1335.1,1315.9,1330.85,1331.7,1329.55,1794,19472,25844851,
500089,"DIC INDIA LTD.",B,STK,537.95,559.5,490.1,509.95,509.95,537.45,41,760,412495,
500092,"CRISIL LTD.",A,STK,4600.05,4601.95,4358.85,4442.3,4433,4661.65,1147,4213,18721000,
500093,"CG Power and Industrial Soluti",A,STK,681,684,671.3,679.85,681,684.9,1632,46727,31683182,
500096,"DABUR INDIA LTD.",A,STK,517.95,518.4,510.05,512.4,510.05,519.45,2992,279887,144357605,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,294.65,300.95,291.95,295.75,295,299.4,318,3806,1125459,
500101,"ARVIND LTD.",A,STK,360,395.1,354.7,385.15,385.15,366.6,4317,214763,82798368,
