SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5420,5608.35,5410,5576.9,5576.9,5475.9,5959,39707,219449966,
500003,"AEGIS LOGISTICS LTD.",A,STK,692.95,748,688.5,730,720,697.85,4787,293227,214237370,
500008,"Amara Raja Energy & Mobility L",A,STK,830,846.5,820.1,838.4,839,830,1526,35993,30140728,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,27,27.8,26.32,27.58,27.56,27.03,191,39299,1076657,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,43.31,46,43.1,45.1,45.1,44.16,429,54501,2443494,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.04,3.04,2.94,2.94,2.94,3,11,6591,19585,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.61,4.9,4.61,4.81,4.79,4.95,45,5699,27442,
500016,"ARUNA HOTELS LTD.",X,STK,7.6,7.6,6.42,7.05,7.14,7.44,99,36048,252817,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,113.05,116.5,113,115.3,114.95,114.05,824,599793,69259204,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,300,310,300,303.7,303.7,300.3,133,2752,841646,
500027,"ATUL LTD.",A,STK,6131.5,6306.5,6108,6214.6,6249,6170.05,281,603,3752435,
500028,"ATV PROJECTS INDIA LTD.",X,STK,34.5,36.5,33.52,36.01,36.2,35.16,154,19828,696920,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,387.75,429.9,384.4,413.65,415,387.75,2293,60979,25421284,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,16,16.68,15.82,16.43,16.43,16.19,735,272761,4454739,
500033,"FORCE MOTORS LTD.",A,STK,18305.05,19414.2,18156.7,19205.15,19205.15,18446.65,2808,8367,159040273,
