DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
25022026|511523|0000000000052206|0000000001037334|0000000000121267|0000000002391580|043.05
25022026|511525|0000000000129195|0000000000223508|0000000000153666|0000000000267278|084.08
25022026|511533|0000000000000300|0000000000012150|0000000000000300|0000000000012150|100.00
25022026|511535|0000000000006219|0000000000265987|0000000000009542|0000000000426423|065.18
25022026|511539|0000000000000442|0000000000006321|0000000000000442|0000000000006321|100.00
25022026|511549|0000000000001324|0000000000079427|0000000000001793|0000000000104268|073.84
25022026|511551|0000000000000289|0000000000080805|0000000000000353|0000000000098953|081.87
25022026|511557|0000000001598532|0000000006316722|0000000001598532|0000000006316722|100.00
25022026|511559|0000000000001500|0000000000421050|0000000000001600|0000000000445821|093.75
25022026|511563|0000000000001016|0000000000040493|0000000000001016|0000000000040493|100.00
25022026|511571|0000000000003824|0000000000478956|0000000000005813|0000000000745707|065.78
25022026|511585|0000000000002718|0000000000008644|0000000000002718|0000000000008619|100.00
25022026|511589|0000000000011768|0000000000182640|0000000000012557|0000000000191579|093.72
25022026|511593|0000000000000002|0000000000000037|0000000000000002|0000000000000036|100.00
25022026|511601|0000000000000351|0000000000002924|0000000000000368|0000000000003014|095.38
25022026|511605|0000000000013466|0000000001086437|0000000000041212|0000000003350856|032.67
25022026|511609|0000000000004000|0000000000118400|0000000000004000|0000000000118353|100.00
25022026|511611|0000000000007030|0000000000033041|0000000000007031|0000000000030816|099.99
25022026|511626|0000000000002016|0000000000193617|0000000000002016|0000000000193616|100.00
25022026|511628|0000000000084488|0000000003812099|0000000000148995|0000000006629502|056.71
25022026|511630|0000000000005508|0000000000042687|0000000000006398|0000000000047020|086.09
25022026|511636|0000000000054382|0000000000126167|0000000000060365|0000000000140736|090.09
25022026|511644|0000000000036772|0000000002685667|0000000000036772|0000000002685667|100.00
25022026|511654|0000000000000103|0000000000007064|0000000000000105|0000000000006543|098.10
25022026|511658|0000000000005662|0000000000101067|0000000000008668|0000000000154774|065.32
25022026|511664|0000000000009965|0000000000118584|0000000000051218|0000000000598730|019.46
25022026|511672|0000000000019746|0000000000624764|0000000000028146|0000000000880121|070.16
25022026|511676|0000000000000911|0000000000141297|0000000000001331|0000000000207730|068.44
25022026|511692|0000000000002974|0000000000017012|0000000000003459|0000000000019980|085.98
25022026|511696|0000000000000001|0000000000000274|0000000000000001|0000000000000274|100.00
25022026|511700|0000000003922876|0000000001843752|0000000007139557|0000000003418827|054.95
25022026|511702|0000000000001708|0000000000274134|0000000000001759|0000000000286187|097.10
25022026|511710|0000000000012502|0000000000025380|0000000000019600|0000000000039804|063.79
25022026|511712|0000000000000685|0000000000050690|0000000000000996|0000000000073152|068.78
25022026|511714|0000000000001020|0000000000201960|0000000000002014|0000000000395141|050.65
25022026|511716|0000000000002808|0000000000015444|0000000000003308|0000000000018052|084.89
25022026|511724|0000000000000015|0000000000000169|0000000000000016|0000000000000180|093.75
25022026|511726|0000000000025655|0000000000304298|0000000000025655|0000000000304298|100.00
25022026|511738|0000000000002421|0000000000086948|0000000000002421|0000000000086948|100.00
25022026|511742|0000000000007036|0000000000806678|0000000000011557|0000000001327696|060.88
25022026|511754|0000000000001812|0000000000164095|0000000000001885|0000000000172277|096.13
25022026|511756|0000000000001036|0000000000036935|0000000000001036|0000000000036935|100.00
25022026|511758|0000000000000013|0000000000000960|0000000000000025|0000000000001733|052.00
25022026|511764|0000000000025748|0000000000782225|0000000000030348|0000000000898412|084.84
25022026|511766|0000000000000132|0000000000030360|0000000000000170|0000000000039277|077.65
25022026|511768|0000000000000962|0000000000084127|0000000000002866|0000000000248755|033.57
25022026|512008|0000000000023858|0000000005546985|0000000000064546|0000000015330688|036.96
25022026|512014|0000000000000488|0000000000381982|0000000000000719|0000000000557886|067.87
25022026|512018|0000000000010158|0000000000083195|0000000000017983|0000000000143610|056.49
25022026|512020|0000000000000154|0000000001598151|0000000000000176|0000000001840218|087.50
25022026|512025|0000000000061532|0000000002845855|0000000000143134|0000000006661051|042.99
25022026|512036|0000000000000405|0000000000049512|0000000000000406|0000000000047284|099.75
25022026|512038|0000000000083684|0000000039159928|0000000000120510|0000000060479167|069.44
25022026|512047|0000000001591860|0000000005444162|0000000001798230|0000000006163813|088.52
25022026|512048|0000000000336809|0000000000926225|0000000000407838|0000000001107474|082.58
25022026|512062|0000000000000075|0000000000002286|0000000000000075|0000000000002286|100.00
25022026|512064|0000000000000006|0000000000000308|0000000000000006|0000000000000307|100.00
25022026|512065|0000000000000132|0000000000001566|0000000000000132|0000000000001566|100.00
25022026|512068|0000000000375072|0000000047052783|0000000000876377|0000000112229330|042.80
25022026|512070|0000000000086651|0000000054221864|0000000000129350|0000000080882317|066.99
25022026|512091|0000000000000001|0000000000000009|0000000000000001|0000000000000009|100.00
25022026|512093|0000000000185038|0000000000822270|0000000000185038|0000000000822270|100.00
25022026|512097|0000000000161544|0000000000045233|0000000000234535|0000000000065892|068.88
25022026|512103|0000000000000371|0000000000117978|0000000000000371|0000000000118540|100.00
25022026|512115|0000000000006930|0000000000455994|0000000000010285|0000000000667053|067.38
25022026|512131|0000000000002147|0000000000097625|0000000000002282|0000000000104960|094.08
25022026|512149|0000000005722461|0000000006464462|0000000005722461|0000000006464462|100.00
25022026|512161|0000000000001205|0000000000025879|0000000000001205|0000000000025879|100.00
25022026|512165|0000000000304236|0000000007408147|0000000000304964|0000000007430044|099.76
25022026|512175|0000000000010978|0000000000043912|0000000000012763|0000000000051062|086.01
25022026|512179|0000000000001248|0000000000507188|0000000000002179|0000000000879518|057.27
25022026|512217|0000000000017918|0000000000468019|0000000000017918|0000000000468018|100.00
25022026|512229|0000000000006966|0000000001206914|0000000000006966|0000000001206914|100.00
25022026|512237|0000000000010903|0000000001219501|0000000000017253|0000000001942126|063.19
25022026|512247|0000000000063960|0000000000168215|0000000000104998|0000000000275827|060.92
