DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
05012026|544272|0000000000004800|0000000000725520|0000000000005600|0000000000848640|085.71
05012026|544273|0000000000009601|0000000000135471|0000000000015917|0000000000224953|060.32
05012026|544274|0000000000031170|0000000071097212|0000000000049637|0000000112801298|062.80
05012026|544275|0000000000005193|0000000000079350|0000000000005806|0000000000088834|089.44
05012026|544276|0000000000000863|0000000000101101|0000000000001072|0000000000125343|080.50
05012026|544277|0000000000125597|0000000340920497|0000000000264527|0000000725487877|047.48
05012026|544278|0000000000000682|0000000000069223|0000000000000800|0000000000081356|085.25
05012026|544279|0000000000008301|0000000002424723|0000000000016120|0000000004723410|051.50
05012026|544280|0000000000021362|0000000008177374|0000000000032204|0000000012336879|066.33
05012026|544281|0000000000016907|0000000000315992|0000000000028023|0000000000526487|060.33
05012026|544282|0000000000928270|0000000048288606|0000000002034227|0000000107447231|045.63
05012026|544283|0000000000010677|0000000002546999|0000000000026439|0000000006304903|040.38
05012026|544284|0000000000007533|0000000008037636|0000000000007533|0000000008037636|100.00
05012026|544285|0000000000123485|0000000046677330|0000000000222141|0000000084755945|055.59
05012026|544286|0000000000036428|0000000002731008|0000000000049853|0000000003736390|073.07
05012026|544288|0000000000018953|0000000013235828|0000000000037977|0000000026478908|049.91
05012026|544289|0000000000285776|0000000027437354|0000000000483013|0000000046358949|059.17
05012026|544290|0000000000019140|0000000003880635|0000000000029699|0000000006027445|064.45
05012026|544291|0000000000015100|0000000015962965|0000000000026800|0000000028577260|056.34
05012026|544292|0000000000001179|0000000002116895|0000000000001918|0000000003441430|061.47
05012026|544293|0000000000001045|0000000000286435|0000000000001476|0000000000406571|070.80
05012026|544294|0000000000001298|0000000000819103|0000000000002902|0000000001830131|044.73
05012026|544296|0000000000015600|0000000004876560|0000000000030000|0000000009436640|052.00
05012026|544301|0000000000002307|0000000000073109|0000000000002521|0000000000079990|091.51
05012026|544302|0000000000000200|0000000000085090|0000000000000210|0000000000089300|095.24
05012026|544303|0000000000001800|0000000000664200|0000000000002100|0000000000778815|085.71
05012026|544304|0000000000006400|0000000000311040|0000000000006400|0000000000312000|100.00
05012026|544305|0000000000009253|0000000002115699|0000000000020546|0000000004707010|045.04
05012026|544306|0000000000023189|0000000022137379|0000000000054066|0000000051633278|042.89
05012026|544307|0000000000116758|0000000015709789|0000000000235072|0000000031603499|049.67
05012026|544308|0000000000013124|0000000001114914|0000000000013124|0000000001114914|100.00
05012026|544309|0000000000000936|0000000001591856|0000000000002020|0000000003437057|046.34
