SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5220,5306,5184.9,5298.8,5291.5,5222.45,597,3743,19659757,
500003,"AEGIS LOGISTICS LTD.",A,STK,745,752.25,733.85,748.9,752,746.55,1148,13541,10091977,
500008,"Amara Raja Energy & Mobility L",A,STK,915.15,923,913.85,919.95,919.95,919.45,1604,14855,13622598,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,28.95,28.95,27.85,28.41,28.41,28.36,188,27723,786896,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,50.55,50.98,50.1,50.28,50.49,50.55,224,34082,1717458,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.25,3.34,3.24,3.24,3.24,3.29,26,18548,61333,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.7,4.99,4.45,4.8,4.8,4.76,83,11663,54814,
500016,"ARUNA HOTELS LTD.",X,STK,8.22,8.9,8.22,8.68,8.68,8.22,66,16048,140842,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,126.95,128,126.2,127.55,127,127,391,17093,2171998,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,327.9,331,322.2,329.65,328,326.4,65,4750,1559978,
500027,"ATUL LTD.",A,STK,6101.3,6210,6095,6117.05,6100,6184,276,1170,7181577,
500028,"ATV PROJECTS INDIA LTD.",X,STK,43.24,43.24,42.2,42.88,42.9,42.39,121,15498,660045,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,471.65,479.55,466.75,475.4,475.9,471.7,249,4041,1907289,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,18.19,18.45,18.15,18.35,18.35,18.28,775,160448,2933101,
500033,"FORCE MOTORS LTD.",A,STK,20815,21000.05,20560,20622.4,20561.1,20889.75,1005,2897,60133332,
500034,"BAJAJ FINANCE LIMITED",A,STK,976,976.4,965.55,969,969.7,977.85,9870,203288,196900452,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,435.75,439.5,433.15,437.7,439.5,435.9,392,7433,3237059,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,690.2,697.45,686.9,693.05,693.05,697.6,940,8329,5765464,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1645.15,1682.05,1645.15,1669.05,1664.55,1668.5,909,5404,8984421,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3957,3957,3536,3600,3600,3600,36,81,294606,
500042,"BASF INDIA LTD.",A,STK,3900.75,3900.75,3808,3818.25,3818.8,3896.45,180,649,2493066,
500043,"BATA INDIA LTD.",A,STK,945.3,945.3,935,935.85,939,945.25,383,3268,3062097,
500048,"BEML LTD.",A,STK,1847.7,1866.9,1836.4,1859.75,1859.75,1852.1,1394,13406,24818226,
500049,"BHARAT ELECTRONICS LTD.",A,STK,413,416.1,409.5,415.6,415.6,413,12332,335721,138691044,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,88.6,89.35,88.47,88.8,88.8,89.04,198,15487,1375100,
500058,"BIHAR SPONGE IRON LTD.",X,STK,12.32,12.32,11.45,11.45,11.45,11.4,79,9379,108305,
500059,"BIL VYAPAR LIMITED",T,STK,7.52,7.54,7.2,7.49,7.49,7.49,7,240,1757,
500060,"Birla Cable Limited",B,STK,136.35,136.65,135.1,135.9,135.9,135.7,133,3154,428330,
500067,"BLUE STAR LTD.",A,STK,1813.25,1850,1792.35,1841.4,1850,1823.7,3044,141980,257416412,
500068,"DISA INDIA LTD.",B,STK,12010,12240,12001,12050,12050,12018.55,24,79,958145,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,298.8,298.8,290.1,291.2,291.25,291.95,17,163,48212,
500074,"BPL LTD.",B,STK,68.66,68.83,65,65.28,65.28,68.24,212,9868,655651,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,283.2,286.05,281,281.15,281,283.2,47,453,128158,
500083,"CENTURY EXTRUSIONS LTD.",T,STK,23.73,24.3,23.25,24.11,24.11,23.19,105,17007,407696,
500084,"CESC LTD.",A,STK,170.75,172.1,169.95,171.15,171.15,170.8,1282,70976,12127340,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,474,474,467.15,468.25,468.25,474.3,2166,44072,20662785,
