SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5049.8,5086.85,5037.55,5060.05,5051,5055,657,2599,13151639,
500003,"AEGIS LOGISTICS LTD.",A,STK,768.45,773,762.8,766.85,764.3,761.05,625,3769,2900617,
500008,"Amara Raja Energy & Mobility L",A,STK,948.5,951.6,941.9,945.8,949.3,953.7,1101,10014,9457882,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,29.64,29.87,28.92,29.22,29.11,29.08,340,38656,1126396,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,50.1,51.29,49.4,50,50.1,50.28,394,41857,2097895,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.42,3.45,3.42,3.45,3.45,3.48,16,2520,8690,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.85,5.69,4.8,5.16,5.05,4.85,95,42631,222674,
500016,"ARUNA HOTELS LTD.",X,STK,8.9,8.9,8.26,8.28,8.8,8.8,39,8841,74892,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,142.55,145.85,141.65,143.3,143.5,142.6,638,35709,5120962,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,326.5,331,326.5,329.95,327.1,326.35,21,1780,585396,
500027,"ATUL LTD.",A,STK,5947.6,5980.4,5860,5959.55,5970.5,5914.3,423,1481,8773811,
500028,"ATV PROJECTS INDIA LTD.",X,STK,37.99,38.45,36.16,37.27,37.35,37.05,298,87724,3305209,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,493.7,493.7,484,489.05,490.75,487.4,500,7865,3847635,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,20.5,20.5,20.27,20.36,20.35,20.45,296,95959,1956418,
500033,"FORCE MOTORS LTD.",A,STK,16794.4,16855,16556.3,16797.25,16798.9,16721.55,536,1630,27214474,
500034,"BAJAJ FINANCE LIMITED",A,STK,996,996.1,985,986,986,993.95,5384,93929,93098001,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,457.95,457.95,447.05,449.1,450.05,452.1,457,362082,162577710,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,690.4,697.75,666,673.95,673.95,690.4,2282,50251,34097854,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1716.4,1765,1712.75,1733.95,1736,1716.35,500,3010,5249014,
500042,"BASF INDIA LTD.",A,STK,4249,4270,4202.65,4224.6,4218,4249.4,359,1270,5358087,
500043,"BATA INDIA LTD.",A,STK,1001.5,1007.9,997.05,1006.15,1006,1005.95,811,5272,5277160,
500048,"BEML LTD.",A,STK,1833.55,1849.4,1832,1840.95,1845,1823.05,812,10026,18456728,
500049,"BHARAT ELECTRONICS LTD.",A,STK,406,412.4,406,410.15,410.15,403.8,11065,684912,280331102,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,90.2,91.39,90.2,91.12,91,90.44,202,13006,1183337,
500058,"BIHAR SPONGE IRON LTD.",X,STK,12.1,12.45,11.75,12.04,11.81,12.28,94,17108,205871,
500059,"BIL VYAPAR LIMITED",B,STK,9.71,10,9.52,9.52,9.52,10.57,95,40660,392509,
500060,"Birla Cable Limited",B,STK,147.6,148.5,144.5,145,144.5,145.45,84,913,134045,
500067,"BLUE STAR LTD.",A,STK,1785.35,1788,1725,1744.45,1749.65,1784.75,2025,21832,38624867,
500068,"DISA INDIA LTD.",B,STK,12998.9,12998.9,12499,12837.6,12800,12785,24,55,705359,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,313.45,313.45,280.05,294.65,298.9,313.45,176,7512,2230388,
500074,"BPL LTD.",B,STK,62,63.73,60,60.54,60.5,62.31,233,6886,425737,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,321.35,323,320,320.75,323,325.3,151,1706,548710,
500083,"CENTURY EXTRUSIONS LTD.",T,STK,23.36,24.78,23.36,24.65,24.78,24,42,11384,274502,
500084,"CESC LTD.",A,STK,166.5,168.25,166,167.15,167.35,167.65,1802,64656,10797193,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,437.15,448.9,435.4,446.3,446.3,441,3218,84203,37331247,
500086,"EXIDE INDUSTRIES LTD.",A,STK,363.5,366.05,361.05,361.65,361.05,363.4,1470,40641,14791176,
500087,"CIPLA LTD.",A,STK,1498.25,1522.15,1498.25,1507.05,1505.45,1503.9,1130,17681,26750429,
500089,"DIC INDIA LTD.",B,STK,514,514,503.95,505.95,506.5,505.2,20,565,285856,
500092,"CRISIL LTD.",A,STK,4533.9,4566.45,4442.5,4462.35,4487.7,4533.85,387,1664,7466242,
500093,"CG Power and Industrial Soluti",A,STK,682.4,685.55,678,682.1,682.1,682.4,2269,60945,41577311,
500096,"DABUR INDIA LTD.",A,STK,510.35,515.45,508.8,513.9,513.85,512.4,1702,50574,25920331,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,317.45,317.45,312,314.7,315,316.1,39,437,136798,
500101,"ARVIND LTD.",A,STK,359.3,362.3,353.3,357,357,359.3,727,17099,6096623,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,276.35,285.2,276.35,282.85,282.85,278.25,5468,453816,128128756,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,462,462.05,452.6,455.4,455.4,463.15,3553,115313,52649407,
500106,"IFCI LTD.",A,STK,50.5,50.85,49.81,50.29,50.29,50.51,4388,623505,31268082,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,38.2,38.75,37.63,37.96,37.99,38.04,476,94517,3612623,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,167,169.4,164.3,165.65,165.8,166.5,1843,246547,40900438,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,995.85,1022.95,976.9,1017.7,1017.7,983,3909,84930,85399443,
500112,"STATE BANK OF INDIA",A,STK,976,988.9,971.5,983.2,983.2,970.3,6723,243325,239385113,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,131.8,133.7,131.15,132.25,132.25,132.1,12177,1613600,213450015,
500114,"TITAN COMPANY LIMITED",A,STK,3874.5,3908.2,3845,3852.45,3852.45,3873.8,2425,15704,60850086,
500116,"IDBI BANK LTD.",A,STK,99.6,102.2,98.9,101.25,101.25,98.9,2566,448906,45329248,
500117,"DCW LTD.",A,STK,63.02,64.6,63.02,64.03,64.45,63.19,270,56749,3625935,
500119,"DHAMPUR SUGAR MILLS LTD.",B,STK,128,128,125.45,125.9,125.7,128,146,4303,542552,
500120,"DIAMINES & CHEMICALS LTD.",B,STK,270.1,270.1,264,264,264,260.6,15,38,10123,
500123,"ELANTAS BECK INDIA LTD.",B,STK,9265.05,9499.9,9230,9299.25,9268,9249.95,98,380,3556403,
500124,"DR.REDDYS LABORATORIES LTD.",A,STK,1232.3,1250.9,1231.85,1235.95,1235.95,1224.75,2258,39339,48844552,
500125,"E.I.D.-PARRY (INDIA) LTD.",A,STK,1014.15,1031.15,1006.55,1024.25,1020,1016.1,246,3525,3597243,
500126,"PROCTER & GAMBLE HEALTH LIMITE",A,STK,5801.95,5841.5,5790,5825.4,5807.25,5877.5,72,147,852890,
500128,"ELECTROSTEEL CASTINGS LTD.",A,STK,72,73.85,72,73.2,73.33,72.29,671,93244,6820737,
500133,"ESAB INDIA LTD.",A,STK,5704.95,5825.1,5693.7,5717.5,5730,5711.1,220,583,3349426,
500135,"EPL LIMITED",A,STK,202.2,204,201.85,202.7,203.45,202.2,293,23444,4759024,
500136,"ESTER INDUSTRIES LTD.",B,STK,106.45,108,106,107.3,107.55,106.45,125,2734,291982,
500142,"FGP LTD.",XT,STK,9.9,10.48,9.81,10,10,9.99,21,3546,35676,
500143,"PH CAPITAL LTD.",X,STK,174.9,182,171.2,172.8,172.8,174.9,145,45510,8012604,
500144,"FINOLEX CABLES LTD.",A,STK,745.25,756.2,741.8,753.5,750.8,746.9,660,7286,5456080,
500147,"JOHN COCKERILL INDIA LIMITED",B,STK,5145,5245,5106,5124.15,5162.55,5121.1,263,1323,6818223,
500148,"UFLEX LTD.",B,STK,496.05,501,496.05,498.75,500.5,498.4,26,313,155917,
500150,"FOSECO INDIA LTD.",B,STK,5089.6,5209.1,5073,5079,5079,5089.6,19,220,1125801,
500153,"GANESH BENZOPLAST LTD.",B,STK,82,82,80.67,81.25,81.4,81.31,287,2452,198578,
500159,"METROGLOBAL LIMITED",X,STK,125,126.8,120.1,122.6,122.6,121,21,723,88759,
500160,"GTL LTD.",B,STK,8,8.14,7.98,8.05,8.01,8.13,245,36634,296204,
500163,"GODFREY PHILLIPS INDIA LTD.",A,STK,2890.35,2905.8,2865,2873.5,2873.5,2899.7,599,4733,13642823,
500164,"GODREJ INDUSTRIES LTD.",A,STK,1018.15,1038.3,1013,1021.5,1021.5,1018.4,550,4048,4140847,
500165,"KANSAI NEROLAC PAINTS LTD.",A,STK,231,231.85,229.2,230.8,230.6,232.05,1189,32492,7486011,
500166,"GOODRICKE GROUP LTD.",X,STK,181.6,184,181,183.75,183.9,182.2,81,4422,808783,
500168,"GOODYEAR INDIA LTD.",B,STK,873,879.95,869.95,872.9,872.3,878.15,276,2067,1808380,
500170,"GTN INDUSTRIES LTD.",X,STK,21.25,24.4,20.85,23,23,22.47,9,660,13967,
500171,"GHCL LTD.",A,STK,577.35,577.35,562.7,570.75,569.3,577.35,681,11330,6440307,
500173,"GFL LIMITED",B,STK,56.3,60,56.3,59.47,59.01,59.71,124,3476,206216,
500179,"HCL INFOSYSTEMS LTD.",B,STK,13.81,14.35,13.81,14.07,14.13,14.02,115,10321,146158,
500180,"HDFC BANK LTD.",A,STK,1004,1006.05,988.4,989.85,989.85,999.05,9836,464725,462826503,
500182,"HERO MOTOCORP LTD.",A,STK,6003,6088.7,5965.25,6082.5,6082.5,5982.8,5917,31159,188655253,
500183,"HFCL LIMITED",A,STK,70.67,71.56,70.61,70.7,70.7,71.15,1580,445111,31600066,
500184,"Himadri Speciality Chemical Lt",A,STK,422.45,450,422.45,440.6,440.6,421.8,5274,317370,140310611,
500185,"HINDUSTAN CONSTRUCTION CO.LTD.",A,STK,23.42,23.88,23.26,23.5,23.5,23.4,1741,701176,16526008,
500186,"HINDUSTAN OIL EXPLORATION CO.L",B,STK,139,143.5,139,141.05,141.05,138.4,255,13634,1923443,
500187,"AGI GREENPAC LIMITED",A,STK,744.05,765.45,742.85,757.25,760.15,745.8,233,2899,2203642,
500188,"HINDUSTAN ZINC LTD.",A,STK,455.3,463.4,455.3,462.65,462.7,453.95,1848,61652,28413903,
500189,"NDL Ventures Limited",T,STK,97.37,97.37,97.37,97.37,97.37,92.74,12,2797,272343,
500191,"HMT LTD.",Z,STK,50.8,50.84,48.11,49.7,49.7,50.3,59,6344,311956,
500192,"PRAG BOSIMI SYNTHETICS LTD.",X,STK,2.07,2.07,1.92,2.04,2.05,2.01,29,4459,8825,
500193,"HLV LIMITED",B,STK,9.5,9.71,9.29,9.41,9.4,9.33,422,44293,419611,
500199,"I G PETROCHEMICALS LTD.",B,STK,378.2,378.2,370,376.2,376.05,378.2,57,393,147420,
500201,"INDIA GLYCOLS LTD.",A,STK,1179.95,1179.95,1098.85,1103.95,1103.8,1129.05,667,10191,11309976,
500202,"INDIA LEASE DEVELOPMENT LTD.",XT,STK,8.9,8.9,8.9,8.9,8.9,8.9,2,210,1869,
500206,"MARGO FINANCE LIMITED",X,STK,73.5,78,73.5,76.88,76.95,73.43,22,441,33861,
500207,"INDO RAMA SYNTHETICS (INDIA) L",B,STK,49.85,53.2,49.85,52.33,51.65,50.26,283,25492,1302963,
500209,"INFOSYS LTD.",A,STK,1549,1549.45,1526,1530,1530,1549.4,12309,266157,407830778,
500210,"INGERSOLL-RAND (INDIA) LTD.",A,STK,3851,3859.9,3780.1,3851.65,3854.95,3913.8,176,668,2553947,
500213,"INTERNATIONAL TRAVEL HOUSE LTD",X,STK,391.4,428.9,391.4,400.7,407.9,399.4,102,2099,848768,
500214,"ION EXCHANGE (INDIA) LTD.",A,STK,344.75,352.5,343.95,345.85,348.45,347.2,1192,15395,5349980,
500215,"SUNDROP BRANDS LIMITED",B,STK,749.9,758.6,744.9,750.7,750.7,739.95,44,169,127434,
500219,"JAIN IRRIGATION SYSTEMS LTD.",A,STK,44.62,47.29,44.18,45.89,45.89,44.62,703,172762,7946162,
500220,"JASCH INDUSTRIES LTD.",X,STK,162.55,171.7,162.55,169,169,162.25,11,442,74663,
500227,"JINDAL POLY FILMS LTD.",B,STK,519.2,529.85,519.2,524.1,525.2,519.15,101,905,476217,
500228,"JSW STEEL LTD.",A,STK,1106.1,1124,1106.1,1111.8,1112,1106.1,1943,23133,25828411,
500233,"KAJARIA CERAMICS LTD.",A,STK,1091.05,1104.65,1085.5,1088.45,1094.55,1091.05,530,4223,4631934,
500234,"KAKATIYA CEMENT SUGAR & INDUST",B,STK,138.75,138.75,134.8,134.8,134.8,133.6,2,36,4876,
500235,"KALYANI STEELS LTD.",B,STK,766.4,770.3,765,766.8,766.85,766.35,47,479,367263,
500238,"WHIRLPOOL OF INDIA LTD.",A,STK,1182.2,1197.35,1169.15,1195.4,1192.9,1182,279,2094,2478055,
500239,"KG DENIM LTD.",X,STK,17.47,17.47,16.75,17.2,17.2,16.89,28,5051,86873,
500240,"KINETIC ENGINEERING LTD.",X,STK,260,277.95,250.6,265.4,265.4,258.05,166,4525,1181015,
500241,"KIRLOSKAR BROTHERS LTD.",A,STK,1726.9,1726.9,1675.25,1679.45,1680,1726.7,352,2458,4157758,
500243,"KIRLOSKAR INDUSTRIES LTD",B,STK,3503.55,3540,3495,3514.8,3495,3503.55,21,37,129928,
500245,"KIRLOSKAR FERROUS INDUSTRIES L",A,STK,470.1,483,470,479.5,479.5,477.85,1005,29023,13819632,
500246,"ENVAIR ELECTRODYNE LTD.",XT,STK,73,73,72.11,72.11,72.11,75.88,15,598,43220,
500247,"KOTAK MAHINDRA BANK LTD.",A,STK,2090.2,2090.25,2066.9,2070.4,2069.75,2086.9,7177,64864,134776581,
500248,"KRISHNA FILAMENT INDUSTRIES LI",XT,STK,4.35,4.35,4.35,4.35,4.35,4.15,1,1,4,
500249,"KSB LIMITED",A,STK,737.95,752.65,716.6,748.8,746.8,737.95,498,5178,3787885,
500250,"L.G.BALAKRISHNAN & BROS.LTD.",B,STK,1906,1932.45,1812.95,1849.9,1852.6,1870.95,574,4224,7829890,
500251,"TRENT LTD.",A,STK,4309,4314,4236.6,4244.3,4241.4,4309.75,2734,17091,73104568,
500252,"LMW Limited",A,STK,15015.05,15189.95,14999,15014.6,15034.25,15191.45,107,226,3402069,
500253,"LIC HOUSING FINANCE LTD.",A,STK,545.95,553.5,544.45,547.9,547.55,545.95,4694,140488,76893832,
500257,"LUPIN LTD.",A,STK,2013,2052.15,2002,2044.05,2044.05,1998.7,2534,22845,46463421,
500259,"LYKA LABS LTD.",B,STK,82,83.62,80.65,83.1,83.04,80.48,60,1275,104322,
500260,"THE RAMCO CEMENTS LIMITED",A,STK,1010,1013.55,996.05,1008.9,1012.85,1008.55,391,2483,2492115,
500264,"MAFATLAL INDUSTRIES LTD.",X,STK,166.15,167.55,161,161.8,161.8,166.15,1224,84467,13721054,
500265,"MAHARASHTRA SEAMLESS LTD.",A,STK,569.9,586.6,558.05,583.75,583.75,569.85,1216,47681,27599864,
500266,"MAHARASHTRA SCOOTERS LTD.",A,STK,14403,14670.55,13954,14109.45,14109.45,14389.65,225,434,6171077,
500267,"MAJESTIC AUTO LTD.",X,STK,335,342.95,333,340,340,345,121,5952,2011390,
500268,"MANALI PETROCHEMICAL LTD.",B,STK,65.3,66.14,64.79,65.95,65.95,64.7,169,14704,959884,
500270,"BARODA RAYON CORPORATION LTD.",X,STK,121.95,123.9,117.15,120,120,121.95,45,459,54621,
500271,"Max Financial Services Limited",A,STK,1682.35,1703,1672.3,1698.85,1698.85,1679.45,1204,6394,10797525,
500277,"MID INDIA INDUSTRIES LTD.",X,STK,7.19,7.49,7,7.49,7.49,7.12,14,919,6544,
500279,"MIRC ELECTRONICS LTD.",T,STK,23.85,24.18,22.86,23.81,23.74,23.99,121,54011,1246343,
500280,"CENTURY ENKA LTD.",B,STK,455.55,461,452.75,452.75,452.75,460.45,22,43,19652,
500284,"LORDS CHLORO ALKALI LTD.",B,STK,174.55,181.5,174,180.1,181.5,174.65,59,675,119603,
500285,"SPICEJET LTD.",A,STK,31.97,32.73,31.81,32.41,32.41,32.12,8543,4716879,152830529,
500288,"MOREPEN LABORATORIES LTD.",A,STK,43.01,43.71,42.5,42.95,43.11,43.13,682,83287,3600449,
500290,"MRF LTD.",A,STK,154500.05,155000,153812.55,154743.55,154400,155967.55,96,112,17294006,
500292,"HEIDELBERGCEMENT INDIA LTD.",B,STK,181.75,185,180.8,183.65,183.9,181.05,93,3006,552335,
