DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
13032026|538611|0000000000000038|0000000000002100|0000000000000038|0000000000002100|100.00
13032026|538634|0000000000000595|0000000000066700|0000000000000961|0000000000109768|061.91
13032026|538635|0000000000014128|0000000000491796|0000000000021106|0000000000736214|066.94
13032026|538646|0000000000000780|0000000000031934|0000000000000819|0000000000033420|095.24
13032026|538647|0000000000011330|0000000000364826|0000000000011331|0000000000356175|099.99
13032026|538666|0000000000002866|0000000002836624|0000000000005268|0000000005288697|054.40
13032026|538668|0000000000023448|0000000012305511|0000000000036136|0000000018957471|064.89
13032026|538674|0000000000000103|0000000000000738|0000000000000103|0000000000000738|100.00
13032026|538683|0000000000027065|0000000023078867|0000000000031600|0000000027101872|085.65
13032026|538685|0000000000006582|0000000000644707|0000000000006712|0000000000682998|098.06
13032026|538706|0000000000227766|0000000001439482|0000000000254323|0000000001643984|089.56
13032026|538707|0000000000000173|0000000000005227|0000000000000370|0000000000012242|046.76
13032026|538708|0000000000001188|0000000000008245|0000000000001570|0000000000010564|075.67
13032026|538713|0000000000002457|0000000000508354|0000000000003445|0000000000706956|071.32
13032026|538714|0000000000002271|0000000000084255|0000000000002615|0000000000098695|086.85
13032026|538715|0000000000011246|0000000003698810|0000000000014160|0000000004578277|079.42
13032026|538716|0000000000001802|0000000000726837|0000000000001803|0000000000727155|099.94
13032026|538730|0000000000005000|0000000001350250|0000000000006911|0000000001910877|072.35
13032026|538732|0000000000000905|0000000000029820|0000000000001049|0000000000034325|086.27
13032026|538734|0000000000006938|0000000006721188|0000000000011508|0000000011213212|060.29
13032026|538742|0000000000000142|0000000000005016|0000000000000142|0000000000005016|100.00
13032026|538743|0000000000003000|0000000000040920|0000000000003000|0000000000040920|100.00
13032026|538770|0000000000001947|0000000000024065|0000000000002653|0000000000033579|073.39
13032026|538772|0000000000134281|0000000004258051|0000000000176349|0000000005568936|076.14
13032026|538777|0000000000002000|0000000000048800|0000000000002000|0000000000048800|100.00
13032026|538778|0000000000115139|0000000000715014|0000000000117235|0000000000736903|098.21
13032026|538787|0000000000006514|0000000000065206|0000000000009041|0000000000091937|072.05
13032026|538788|0000000000004087|0000000000048595|0000000000004984|0000000000058532|082.00
13032026|538794|0000000000048000|0000000000708480|0000000000048000|0000000000708480|100.00
13032026|538795|0000000000000781|0000000000198023|0000000000000876|0000000000217135|089.16
13032026|538817|0000000000112016|0000000001004784|0000000000160961|0000000001452412|069.59
13032026|538833|0000000000001242|0000000000011626|0000000000001257|0000000000011720|098.81
13032026|538834|0000000000037953|0000000000392435|0000000000038161|0000000000397209|099.45
13032026|538835|0000000000012727|0000000008403639|0000000000018932|0000000012534378|067.22
13032026|538836|0000000000001081|0000000000544662|0000000000001255|0000000000639297|086.14
13032026|538837|0000000000008139|0000000000487364|0000000000011196|0000000000677634|072.70
13032026|538838|0000000000000051|0000000000001311|0000000000000051|0000000000001310|100.00
13032026|538857|0000000000004924|0000000000064996|0000000000004924|0000000000064996|100.00
13032026|538860|0000000000013768|0000000000010189|0000000000013768|0000000000010188|100.00
13032026|538862|0000000000000342|0000000000014077|0000000000000342|0000000000014267|100.00
13032026|538868|0000000000006716|0000000000102017|0000000000010400|0000000000159379|064.58
13032026|538874|0000000000001664|0000000000029620|0000000000002059|0000000000036685|080.82
13032026|538875|0000000000242397|0000000001524678|0000000000277188|0000000001743803|087.45
13032026|538881|0000000000000556|0000000000011293|0000000000000556|0000000000011814|100.00
13032026|538882|0000000000066293|0000000003276201|0000000000090873|0000000004510312|072.95
13032026|538890|0000000000059003|0000000003188523|0000000000062306|0000000003332689|094.70
13032026|538891|0000000000071693|0000000001581548|0000000000082958|0000000001851988|086.42
13032026|538894|0000000000000050|0000000000001233|0000000000000050|0000000000001232|100.00
13032026|538895|0000000000046036|0000000000463123|0000000000048119|0000000000511959|095.67
13032026|538896|0000000000003863|0000000001287152|0000000000003925|0000000001311158|098.42
13032026|538902|0000000000000961|0000000000124594|0000000000001436|0000000000184940|066.92
13032026|538918|0000000000010289|0000000000079637|0000000000012196|0000000000094433|084.36
13032026|538920|0000000000027272|0000000003346275|0000000000059535|0000000007396963|045.81
13032026|538922|0000000000001996|0000000000039601|0000000000002108|0000000000041940|094.69
13032026|538923|0000000000034712|0000000000864329|0000000000044441|0000000001039268|078.11
13032026|538926|0000000000000055|0000000000010945|0000000000000233|0000000000046431|023.61
13032026|538928|0000000000342673|0000000000452329|0000000000354850|0000000000488912|096.57
13032026|538942|0000000000000909|0000000000020089|0000000000001223|0000000000026771|074.33
13032026|538943|0000000000000135|0000000000012999|0000000000000135|0000000000012999|100.00
13032026|538952|0000000000001504|0000000000001805|0000000000001504|0000000000001804|100.00
13032026|538961|0000000000003973|0000000000046882|0000000000006244|0000000000072585|063.63
13032026|538962|0000000000007472|0000000003586934|0000000000014306|0000000006884761|052.23
13032026|538964|0000000000000055|0000000000044000|0000000000000057|0000000000045644|096.49
13032026|538965|0000000000005209|0000000000373121|0000000000006003|0000000000429320|086.77
13032026|538970|0000000000529493|0000000003378166|0000000000624417|0000000004007958|084.80
13032026|538975|0000000001125741|0000000000214132|0000000001125741|0000000000214132|100.00
13032026|538979|0000000000001383|0000000000290845|0000000000001932|0000000000410783|071.58
13032026|538987|0000000000000511|0000000000317485|0000000000000520|0000000000325862|098.27
13032026|538992|0000000000000005|0000000000010285|0000000000000005|0000000000010285|100.00
13032026|539006|0000000000002744|0000000046645531|0000000000003198|0000000055171594|085.80
13032026|539011|0000000000012112|0000000000875577|0000000000012202|0000000000901910|099.26
13032026|539012|0000000000000028|0000000000002576|0000000000000033|0000000000003025|084.85
13032026|539013|0000000000016600|0000000001721088|0000000000034934|0000000003564744|047.52
13032026|539014|0000000000000162|0000000000001468|0000000000000162|0000000000001468|100.00
13032026|539015|0000000000006836|0000000000011344|0000000000006836|0000000000011344|100.00
13032026|539016|0000000000022846|0000000000136848|0000000000024750|0000000000149240|092.31
13032026|539017|0000000000301665|0000000001454026|0000000000431510|0000000002084042|069.91
13032026|539018|0000000000000895|0000000000340593|0000000000001113|0000000000419178|080.41
13032026|539031|0000000000001823|0000000000490333|0000000000001837|0000000000496617|099.24
13032026|539040|0000000000040408|0000000000247297|0000000000059975|0000000000370962|067.37
13032026|539041|0000000000042500|0000000001005125|0000000000048750|0000000001144650|087.18
13032026|539042|0000000000017641|0000000005414905|0000000000048059|0000000014825939|036.71
13032026|539044|0000000000000135|0000000000007286|0000000000000136|0000000000007389|099.26
13032026|539045|0000000000009108|0000000000242773|0000000000009108|0000000000242773|100.00
13032026|539046|0000000000005480|0000000000613760|0000000000009592|0000000001068273|057.13
13032026|539056|0000000000070358|0000000002845982|0000000000109916|0000000004527841|064.01
13032026|539083|0000000000351575|0000000027988886|0000000000681477|0000000055028994|051.59
13032026|539090|0000000000003507|0000000000122325|0000000000003512|0000000000119644|099.86
13032026|539091|0000000000152940|0000000000119294|0000000000178255|0000000000137771|085.80
13032026|539097|0000000000242909|0000000000570837|0000000000244325|0000000000565795|099.42
13032026|539111|0000000000000870|0000000000013285|0000000000000870|0000000000013399|100.00
13032026|539113|0000000000000574|0000000000290502|0000000000000575|0000000000289182|099.83
13032026|539115|0000000000005539|0000000001274247|0000000000006233|0000000001439179|088.87
13032026|539117|0000000000061814|0000000002693855|0000000000164340|0000000007176333|037.61
13032026|539118|0000000000003293|0000000000848771|0000000000006106|0000000001564817|053.93
13032026|539120|0000000000000160|0000000000009919|0000000000000161|0000000000010058|099.38
13032026|539121|0000000000001870|0000000000184569|0000000000002144|0000000000213947|087.22
