DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
14112025|500002|0000000000003673|0000000018196226|0000000000004998|0000000024661142|073.49
14112025|500003|0000000000006084|0000000004823396|0000000000013579|0000000010791024|044.80
14112025|500008|0000000000023181|0000000022365029|0000000000038850|0000000037497571|059.67
14112025|500009|0000000000049529|0000000001523513|0000000000054776|0000000001699111|090.42
14112025|500012|0000000000027278|0000000001415729|0000000000036186|0000000001883162|075.38
14112025|500013|0000000000005190|0000000000019942|0000000000005190|0000000000019942|100.00
14112025|500014|0000000000004870|0000000000025178|0000000000005715|0000000000029767|085.21
14112025|500016|0000000000004225|0000000000038110|0000000000005200|0000000000046548|081.25
14112025|500020|0000000000010468|0000000001626728|0000000000016574|0000000002570190|063.16
14112025|500023|0000000000000004|0000000000001261|0000000000000004|0000000000001260|100.00
14112025|500027|0000000000000330|0000000001952000|0000000000000649|0000000003842728|050.85
14112025|500028|0000000000036511|0000000001182227|0000000000049571|0000000001580592|073.65
14112025|500031|0000000000003674|0000000001868046|0000000000005446|0000000002754459|067.46
14112025|500032|0000000000119668|0000000002519012|0000000000175586|0000000003709083|068.15
14112025|500033|0000000000003368|0000000059447390|0000000000008710|0000000151864356|038.67
14112025|500034|0000000000038803|0000000039509215|0000000000071137|0000000071958479|054.55
14112025|500038|0000000000009781|0000000004554034|0000000000031051|0000000014542249|031.50
14112025|500039|0000000000210904|0000000170030805|0000000000653396|0000000543113991|032.28
14112025|500040|0000000000000579|0000000001011513|0000000000001368|0000000002392316|042.32
14112025|500042|0000000000000667|0000000002943638|0000000000001779|0000000007882614|037.49
14112025|500043|0000000000010825|0000000011114569|0000000000014004|0000000014437155|077.30
14112025|500048|0000000000009935|0000000019975808|0000000000026943|0000000054366252|036.87
14112025|500049|0000000000518493|0000000221370587|0000000000930131|0000000394451815|055.74
14112025|500052|0000000000005757|0000000000551003|0000000000007312|0000000000699029|078.73
14112025|500058|0000000000036457|0000000000471754|0000000000050604|0000000000652148|072.04
14112025|500059|0000000000000018|0000000000000206|0000000000000018|0000000000000205|100.00
14112025|500060|0000000000004282|0000000000657073|0000000000006388|0000000000982358|067.03
14112025|500067|0000000000003960|0000000007002270|0000000000008117|0000000014516888|048.79
14112025|500068|0000000000000018|0000000000240307|0000000000000021|0000000000281081|085.71
14112025|500069|0000000000000077|0000000000025414|0000000000000113|0000000000037483|068.14
14112025|500074|0000000000003193|0000000000217156|0000000000004001|0000000000271940|079.80
14112025|500078|0000000000000085|0000000000028786|0000000000000103|0000000000034975|082.52
14112025|500083|0000000000010886|0000000000284003|0000000000010886|0000000000284003|100.00
14112025|500084|0000000000052340|0000000009122862|0000000000080181|0000000013890998|065.28
14112025|500085|0000000000032027|0000000014852522|0000000000044384|0000000020580526|072.16
14112025|500086|0000000000026992|0000000010279904|0000000000078509|0000000029837812|034.38
14112025|500087|0000000000015732|0000000024095918|0000000000030581|0000000046778633|051.44
14112025|500089|0000000000000513|0000000000261964|0000000000000727|0000000000386686|070.56
14112025|500092|0000000000000297|0000000001379016|0000000000000686|0000000003186628|043.29
14112025|500093|0000000000176617|0000000131323571|0000000000231263|0000000172414233|076.37
14112025|500096|0000000000111098|0000000058343115|0000000000168879|0000000088450449|065.79
14112025|500097|0000000000001623|0000000000514644|0000000000001623|0000000000514644|100.00
14112025|500101|0000000000006390|0000000002150235|0000000000012405|0000000004230809|051.51
14112025|500103|0000000000128524|0000000036218064|0000000000319060|0000000090219981|040.28
14112025|500104|0000000000044090|0000000021224926|0000000000086270|0000000041616290|051.11
14112025|500106|0000000000250145|0000000013690436|0000000000511886|0000000027953661|048.87
14112025|500108|0000000000018498|0000000000760823|0000000000043501|0000000001784283|042.52
14112025|500109|0000000000133174|0000000022879294|0000000000253609|0000000043799354|052.51
