SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,4984.05,4994.4,4912.75,4924.5,4924.5,4976.7,1802,9346,46263399,
500003,"AEGIS LOGISTICS LTD.",A,STK,778.95,821.9,778.95,799.6,800,780.1,7001,116011,93583708,
500008,"Amara Raja Energy & Mobility L",A,STK,960.95,971,959.25,963.7,963.7,960.8,3232,45512,43911773,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,31.34,32.6,31.34,31.94,31.99,31.13,207,30183,963861,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,51.5,51.89,50.9,51.69,51.5,51.24,525,84228,4323371,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.94,4,3.94,3.94,3.94,4.02,13,2807,11060,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,5.65,5.65,4.71,5.27,5.33,5.34,143,41580,215593,
500016,"ARUNA HOTELS LTD.",X,STK,8.4,8.4,8.07,8.31,8.34,8.35,37,6830,56656,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,155,159.6,155,156.95,157.4,154.05,658,34283,5409092,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,318.3,322.65,317,320.3,320,320.1,42,1140,362946,
500027,"ATUL LTD.",A,STK,5754.95,5869.9,5754.95,5859.25,5860,5754.95,192,739,4300689,
500028,"ATV PROJECTS INDIA LTD.",X,STK,31.5,31.68,29.85,30.9,30.89,30.02,156,18575,573733,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,509.85,512,505,506.85,509.5,506.15,813,9647,4902714,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,21.3,21.6,20.9,21.02,21.02,21.21,999,342814,7308437,
500033,"FORCE MOTORS LTD.",A,STK,17649.85,17950,17393.5,17466.65,17466.65,17542,1089,3258,57694107,
500034,"BAJAJ FINANCE LIMITED",A,STK,1009.1,1018.45,1009.1,1011.9,1011.9,1005.35,11072,429379,435364737,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,454.05,458.55,448.5,449.05,449.05,453.9,634,11311,5122166,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,808.8,817.85,790,795.65,790.95,809.6,2520,57702,46407218,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1753.1,1796.15,1752.3,1773.5,1785.9,1753.25,579,3203,5682112,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3550.1,3550.1,3523,3525.1,3525.1,3625,5,9,31753,
500042,"BASF INDIA LTD.",A,STK,4496.3,4530,4482,4493.65,4498,4495.6,179,563,2540492,
500043,"BATA INDIA LTD.",A,STK,1050,1060.3,1045.05,1057.75,1057.75,1047.4,978,9678,10157126,
500048,"BEML LTD.",A,STK,2023.2,2038.2,2001.6,2008.2,2008.2,2017.2,1054,9768,19743052,
500049,"BHARAT ELECTRONICS LTD.",A,STK,428.85,429.6,421.85,424.45,424.45,427.2,7671,610481,259764555,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,96.02,96.91,95.82,96.23,96.47,96.62,253,8769,844481,
500058,"BIHAR SPONGE IRON LTD.",X,STK,12.56,12.97,12.5,12.68,12.87,12.56,114,21304,273309,
500059,"BIL VYAPAR LIMITED",B,STK,12.3,12.3,11.24,11.49,11.24,11.21,23,1459,16802,
500060,"Birla Cable Limited",B,STK,153,153.55,150.8,151.1,151.1,152.45,282,9022,1369081,
500067,"BLUE STAR LTD.",A,STK,1781,1801.7,1773.4,1796.6,1797.2,1780.95,1626,9463,16919336,
