SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,6129.1,6134.05,6040,6074.3,6083.8,6123.85,1615,6070,36880311,
500003,"AEGIS LOGISTICS LTD.",A,STK,698.4,700.3,685,688.85,685,698.9,854,21605,14976417,
500008,"Amara Raja Energy & Mobility L",A,STK,845.15,859.9,842,846.55,846.55,854.35,2439,47426,40228714,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,26.33,26.66,25.99,26.24,26.24,26.32,189,46686,1226471,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,40.01,40.88,40,40.36,40.28,40.32,264,58599,2369426,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.3,4.68,4.2,4.48,4.66,4.33,73,11417,50541,
500016,"ARUNA HOTELS LTD.",X,STK,8.05,8.19,7.51,7.67,7.67,8.09,62,15690,121240,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,114.6,114.75,112.65,113.3,113.2,114.65,285,10905,1237880,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,294,301.3,285.05,294.1,285.15,292.1,137,5552,1634793,
500027,"ATUL LTD.",A,STK,6536.1,6820,6494.55,6638.4,6657.3,6536.1,480,1634,10785022,
500028,"ATV PROJECTS INDIA LTD.",X,STK,32.58,33.44,31.86,32.08,32.05,33.51,197,28413,922726,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,373.05,373.8,362,365.15,368.15,373.1,407,4803,1767284,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,15.41,16.39,15.41,16.19,16.19,15.56,2039,838741,13442317,
500033,"FORCE MOTORS LTD.",A,STK,25795,25795,24250,24324.8,24324.8,25431.85,1435,4588,113641540,
500034,"BAJAJ FINANCE LIMITED",A,STK,1012.7,1014.15,993.25,996.5,996.5,1012.75,8382,274541,275650003,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,466,471.95,460.7,470.15,470.15,461.4,794,20376,9519113,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,630,639.3,617.5,622.1,624.15,631.55,1262,24272,15191698,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1292.8,1328.95,1275,1289.35,1300,1292.8,1265,19234,24899616,
500042,"BASF INDIA LTD.",A,STK,3520,3532.2,3432,3454.65,3454.65,3522.6,570,1488,5177609,
500043,"BATA INDIA LTD.",A,STK,806,806,787.15,788.85,790,795.4,1092,10655,8434774,
500048,"BEML LTD.",A,STK,1708,1708,1647.15,1680.6,1675.5,1708.55,1070,10946,18321756,
500049,"BHARAT ELECTRONICS LTD.",A,STK,449,449,441.5,444.45,444.45,449,8802,651054,290033589,
