SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5049.95,5091.7,5000,5079.75,5075,5042.45,1924,72778,366989763,
500003,"AEGIS LOGISTICS LTD.",A,STK,785.25,799.9,785.25,792.65,792.65,797.6,779,7869,6227128,
500008,"Amara Raja Energy & Mobility L",A,STK,970.75,970.75,950.8,956.05,956.05,964.9,1818,30762,29463028,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,30.5,31.35,30.2,30.63,30.61,30.51,168,26494,814360,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,51.82,51.94,51.21,51.4,51.4,51.87,269,36575,1884034,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.7,3.75,3.67,3.7,3.7,3.74,17,9983,37252,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.95,5.24,4.9,4.96,4.98,4.95,112,27065,137320,
500016,"ARUNA HOTELS LTD.",X,STK,9.09,9.09,8.45,8.64,8.64,9.07,30,1524,13190,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,150.55,153.45,150.55,151.15,151.15,152.2,507,32991,5012096,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,330.8,332.55,327.35,331.05,331.05,338.95,17,182,59800,
500027,"ATUL LTD.",A,STK,6096,6250,6046,6143.8,6128.45,6015.3,1784,10594,65553687,
500028,"ATV PROJECTS INDIA LTD.",X,STK,34.28,35.55,33.25,34.23,34.23,34.28,184,39353,1337365,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,505.45,505.45,496,498.05,497.95,502.55,333,3435,1711386,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,21,21.07,20.78,20.91,20.91,21.12,700,171323,3580924,
500033,"FORCE MOTORS LTD.",A,STK,17574.95,17668,17275,17434.6,17450,17573.95,890,2430,42421740,
500034,"BAJAJ FINANCE LIMITED",A,STK,1026.15,1026.15,1012,1013.55,1013.55,1026.45,4576,82122,83402288,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,471.65,472.75,460.25,462.55,463.25,471.75,883,21820,10133586,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,818.55,818.55,774.5,777.65,777.65,814.75,3637,85256,67272500,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1746.7,1759,1722,1748.15,1751,1753.95,692,3749,6528664,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3400.05,3581.4,3400.05,3581.4,3581.4,3668.9,3,6,20944,
500042,"BASF INDIA LTD.",A,STK,4394.9,4394.9,4307.55,4320.6,4326.5,4366.2,175,625,2709146,
500043,"BATA INDIA LTD.",A,STK,1014.1,1020.45,1005.9,1014,1014,1014.1,526,5599,5660217,
500048,"BEML LTD.",A,STK,2009,2018,1972,1978.75,1978.75,2009.45,2289,17298,34383968,
500049,"BHARAT ELECTRONICS LTD.",A,STK,425.05,429.4,420.3,420.85,420.85,424.5,7841,906802,384566670,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,95.41,95.45,94.35,94.73,94.73,95.54,248,13354,1265665,
500058,"BIHAR SPONGE IRON LTD.",X,STK,12.36,13,12.23,12.44,12.35,12.48,145,36070,453879,
500059,"BIL VYAPAR LIMITED",B,STK,11.55,11.8,11.17,11.17,11.17,11.85,5,700,8107,
500060,"Birla Cable Limited",B,STK,152,152,147.1,147.9,148.2,151.95,87,3589,533699,
500067,"BLUE STAR LTD.",A,STK,1774.25,1784.8,1750.9,1779.75,1783.6,1787.45,1287,51942,92383967,
500068,"DISA INDIA LTD.",B,STK,13149.9,13292,12866.75,12988.1,12950,13033.75,76,161,2089448,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,330.65,330.65,320.2,326.05,326.9,330.65,37,877,285288,
500074,"BPL LTD.",B,STK,67.67,67.87,66.6,66.88,67.05,67.67,178,3753,251494,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,346.25,346.25,339.15,339.15,339.15,346.25,33,110,37626,
500083,"CENTURY EXTRUSIONS LTD.",T,STK,26.68,27.2,25.9,26.47,26.85,26.23,20,5338,139866,
500084,"CESC LTD.",A,STK,175.75,175.8,172.9,174.9,175.6,175.75,1426,64062,11147773,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,469,470,462,463.9,464.7,469.4,3505,86276,40009063,
500086,"EXIDE INDUSTRIES LTD.",A,STK,381.9,383.25,379,381.65,381.7,382.55,1364,50354,19182297,
500087,"CIPLA LTD.",A,STK,1535.95,1535.95,1512,1514.65,1514.65,1536.25,2372,25355,38574524,
500089,"DIC INDIA LTD.",B,STK,514.4,522.55,509,514.85,515,516.35,63,352,180018,
500092,"CRISIL LTD.",A,STK,4749.85,4749.85,4626.4,4643.5,4643.5,4716.5,512,1868,8685204,
500093,"CG Power and Industrial Soluti",A,STK,749.6,749.6,732,733.45,733.45,750,3432,83404,61740282,
