SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
132822,"VODAFONE IDEA  LIMITED",A,STK,10.41,10.41,10.41,10.55,10.41,10.14,1,1,10,
500002,"ABB INDIA LIMITED",A,STK,5182.65,5182.65,5088.5,5124.15,5130.75,5182.65,485,2699,13832045,
500003,"AEGIS LOGISTICS LTD.",A,STK,771,779.4,763.9,768.85,764.5,774.4,668,10599,8153789,
500008,"Amara Raja Energy & Mobility L",A,STK,951,953.5,945,946,946.15,950.55,865,9418,8932549,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,28.23,28.35,27.1,27.76,27.99,28.24,355,45119,1258631,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,49.12,49.6,48.7,48.82,48.95,49.6,490,27921,1367786,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.48,3.48,3.4,3.43,3.43,3.46,9,1831,6299,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.92,5.07,4.83,5.04,5.04,4.9,71,6993,34754,
500016,"ARUNA HOTELS LTD.",X,STK,9,9,8.62,8.9,8.9,9,47,45664,409843,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,141.1,141.8,138.9,140.3,140.2,141.1,351,14428,2020454,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,323.1,327.5,317.8,325.45,326.9,326.05,42,1430,462299,
500027,"ATUL LTD.",A,STK,5785.55,5886,5756.55,5769.6,5760,5776.85,442,5159,30003248,
500028,"ATV PROJECTS INDIA LTD.",X,STK,36.98,37.3,35.36,37.08,36.7,36.77,180,40672,1500004,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,483.75,488,480.5,483.2,482.85,483.7,433,5176,2496128,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,20,20.18,19.7,19.76,19.76,20.04,649,170961,3398854,
500033,"FORCE MOTORS LTD.",A,STK,17884.5,17886.05,17450.05,17590.3,17590.3,17884.5,1429,4886,85865471,
500034,"BAJAJ FINANCE LIMITED",A,STK,1024.2,1025.75,1013.65,1020.1,1020.1,1025.25,3299,116100,118224492,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,453.9,453.9,442.3,444.65,445,449.9,233,4374,1958966,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,676.4,682.45,663.05,668.2,664.05,676.4,553,16269,10909213,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1763.75,1773.95,1725,1767.1,1768.25,1745.85,485,1880,3292184,
500042,"BASF INDIA LTD.",A,STK,4101,4111.05,4066,4088.95,4066,4116.3,212,929,3798414,
500043,"BATA INDIA LTD.",A,STK,963,980,960,977.5,977.5,965.6,1539,525531,507302875,
500048,"BEML LTD.",A,STK,1798.35,1800,1753.25,1775.2,1781.55,1791.6,1648,14384,25464565,
500049,"BHARAT ELECTRONICS LTD.",A,STK,412.75,412.75,403.4,404.15,404.15,412.95,7483,397165,161338381,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,92.35,92.41,90.41,91.05,91.2,92.05,193,16249,1486493,
500058,"BIHAR SPONGE IRON LTD.",X,STK,12.02,12.49,11.81,11.86,11.86,12.03,73,14077,167751,
500059,"BIL VYAPAR LIMITED",T,STK,7.03,7.03,7.03,7.03,7.03,7.39,42,6967,48978,
500060,"Birla Cable Limited",B,STK,141.2,147.8,141.1,143.65,143.65,144.35,59,6523,932596,
500067,"BLUE STAR LTD.",A,STK,1745,1760.7,1727.6,1750.1,1748.5,1745.3,1471,212249,370925885,
500068,"DISA INDIA LTD.",B,STK,12600,12666.9,12431,12451,12451,12560.45,12,30,378188,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,303.7,304.9,300,304.9,304.9,303.7,10,449,136054,
500074,"BPL LTD.",B,STK,61.7,62,60.74,61.7,62,61.67,122,1903,117038,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,302,303.3,300,302.65,302.65,302,26,154,46569,
500083,"CENTURY EXTRUSIONS LTD.",T,STK,23.85,23.89,23.34,23.64,23.87,23.77,24,3336,78416,
500084,"CESC LTD.",A,STK,173,178.35,172.05,175.35,175.35,173,6362,287226,50419430,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,443,443,431,434.6,435,439.15,2736,61203,26556784,
500086,"EXIDE INDUSTRIES LTD.",A,STK,377.65,378.6,370.3,372.4,374.45,378.4,1587,45495,17007827,
500087,"CIPLA LTD.",A,STK,1516.65,1522.15,1495.95,1508.1,1508.1,1516.65,2337,25061,37843766,
500089,"DIC INDIA LTD.",B,STK,510,522,506.5,510,510,500.35,54,981,499827,
500092,"CRISIL LTD.",A,STK,4498.85,4498.85,4388.05,4456.5,4436.95,4396.65,707,18131,80371516,
500093,"CG Power and Industrial Soluti",A,STK,656.1,671.15,656.1,664.1,664.7,659.4,1789,583387,383953760,
500096,"DABUR INDIA LTD.",A,STK,506,508.9,501,505.9,505.3,507.75,1469,54151,27313566,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,304.25,304.25,296.6,297.1,296.6,304.45,108,1862,555839,
500101,"ARVIND LTD.",A,STK,347.35,347.35,338.45,342.1,341,342.7,528,11413,3897793,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,285.65,287.6,276,278.5,278.5,285.55,10597,2371029,663340397,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,450.45,455.15,446.85,450.6,450.3,450.45,3685,138754,62480924,
500106,"IFCI LTD.",A,STK,51,51.17,50,50.33,50.33,50.95,1143,234904,11818560,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,37.51,38.05,37.33,37.5,37.5,37.82,445,81801,3081151,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,158.8,159.8,156.3,159.15,159,158.8,1742,156173,24670938,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,928.05,944.95,911.55,941.85,941.85,933.25,4564,169264,157637839,
500112,"STATE BANK OF INDIA",A,STK,972.25,972.25,947.35,951.4,951.4,967.75,31389,875186,835452363,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,132.3,133.5,130.3,132.05,132.05,132.45,3803,1153284,152070103,
500114,"TITAN COMPANY LIMITED",A,STK,3894.7,3894.7,3786,3814.55,3814.55,3886.95,3407,17180,65893003,
500116,"IDBI BANK LTD.",A,STK,99.8,101.1,97.2,97.6,97.6,99.7,2238,369170,36168276,
500117,"DCW LTD.",A,STK,57.8,58.35,56.55,56.9,56.9,57.8,393,49321,2820208,
500119,"DHAMPUR SUGAR MILLS LTD.",B,STK,124.5,124.5,121.6,122.25,121.6,124.55,144,3912,479652,
500120,"DIAMINES & CHEMICALS LTD.",B,STK,268,271,266,267.75,267.75,269.25,116,11946,3192426,
500123,"ELANTAS BECK INDIA LTD.",B,STK,9480,9480,9180,9189.65,9189.65,9479.95,188,1245,11485498,
500124,"DR.REDDYS LABORATORIES LTD.",A,STK,1282,1292.7,1269.05,1280.55,1280.55,1276.3,6375,97792,125347228,
500125,"E.I.D.-PARRY (INDIA) LTD.",A,STK,1027.15,1046.35,1022.6,1036.8,1035.65,1041.3,482,6132,6336368,
500126,"PROCTER & GAMBLE HEALTH LIMITE",A,STK,5782.75,5835,5703.75,5802.85,5779.3,5782.75,95,338,1956969,
500128,"ELECTROSTEEL CASTINGS LTD.",A,STK,73.48,73.96,71.88,73.17,73.17,73.36,552,39984,2907707,
500133,"ESAB INDIA LTD.",A,STK,5730,5795,5706,5771.6,5795,5706.45,145,419,2404677,
500135,"EPL LIMITED",A,STK,204,204.9,200.45,201.95,203,204.05,1378,38140,7727409,
