SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5859.9,5859.9,5752,5812.85,5811.65,5811.8,1102,4850,28170155,
500003,"AEGIS LOGISTICS LTD.",A,STK,691.25,726,691.25,723.35,723.25,690.15,1338,21906,15627114,
500008,"Amara Raja Energy & Mobility L",A,STK,865.9,899.9,865.9,897.25,897.25,865.7,3401,51740,45868297,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,25.51,27.9,25.51,27.34,27.34,25.41,307,92400,2459389,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,45.01,45.4,44.01,44.22,44.38,44.73,409,46590,2074362,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.1,3.1,3.1,3.1,3.1,3.04,5,3689,11435,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.87,4.92,4.6,4.74,4.73,4.77,60,5015,23695,
500016,"ARUNA HOTELS LTD.",X,STK,8.08,8.49,7.56,8.32,8.42,8.04,17,2670,22236,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,122.05,127.3,121,126.35,126.2,119.75,956,64214,7987236,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,302.2,314.9,284.75,290.45,295,300.9,323,10233,2968300,
500027,"ATUL LTD.",A,STK,6439.3,6560.6,6403.2,6523.9,6501,6478.25,588,2106,13693833,
500028,"ATV PROJECTS INDIA LTD.",X,STK,36.8,39,35.08,37.18,37.01,34.61,218,29842,1100707,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,416.35,427.8,390,408.95,408.95,411.5,2436,72372,29435087,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,16.31,17.25,16.3,17.14,17.03,16.16,1070,436823,7382330,
500033,"FORCE MOTORS LTD.",A,STK,21650.05,22436,21500,22351.05,22351.05,21418.85,4662,13012,287947906,
500034,"BAJAJ FINANCE LIMITED",A,STK,990,990,971.6,983,983,981.65,4464,97623,95536712,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,444.85,457,444,452.85,452.85,444.85,501,15482,7006694,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,630.15,653.45,630.15,644.3,642.75,626.55,1019,23238,14956763,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1355,1457.2,1347.75,1427.55,1427.55,1352.35,1874,20820,29561999,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3699.95,3699.95,3600,3600,3600,3710.2,10,47,169399,
500042,"BASF INDIA LTD.",A,STK,3650.35,3936,3650.35,3924.9,3924.9,3650.2,1025,5585,21305930,
500043,"BATA INDIA LTD.",A,STK,852,886.2,852,884.35,882.5,848.15,638,6711,5856659,
500048,"BEML LTD.",A,STK,1630.25,1769,1600.4,1760.25,1760.25,1615.5,4293,68067,116429968,
500049,"BHARAT ELECTRONICS LTD.",A,STK,430.85,439.45,429.6,437.5,437.5,429.55,6912,472974,206291267,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,85.6,87.3,85.6,87.09,86.65,85.59,644,23921,2078897,
500058,"BIHAR SPONGE IRON LTD.",X,STK,11.12,11.71,10.89,11.25,11.25,11.51,113,36510,408908,
