DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
04112025|543184|0000000000005869|0000000000414469|0000000000006346|0000000000448011|092.48
04112025|543186|0000000000001452|0000000000008364|0000000000001497|0000000000008641|096.99
04112025|543187|0000000000033866|0000000695265594|0000000000122083|0000002450160417|027.74
04112025|543193|0000000000017860|0000000001490775|0000000000023310|0000000001967770|076.62
04112025|543194|0000000000001800|0000000000216000|0000000000002700|0000000000333855|066.67
04112025|543207|0000000000011683|0000000000069047|0000000000014755|0000000000087132|079.18
04112025|543208|0000000000036920|0000000000101900|0000000000114688|0000000000324835|032.19
04112025|543210|0000000000000176|0000000000081409|0000000000000206|0000000000095504|085.44
04112025|543211|0000000000014975|0000000000754141|0000000000018093|0000000000920456|082.77
04112025|543212|0000000000004711|0000000001664632|0000000000009102|0000000003242073|051.76
04112025|543213|0000000000000507|0000000000329424|0000000000000769|0000000000496440|065.93
04112025|543214|0000000000000615|0000000000594921|0000000000000726|0000000000700884|084.71
04112025|543216|0000000000001890|0000000002629935|0000000000001914|0000000002667387|098.75
04112025|543217|0000000000394951|0000000185259666|0000000000398022|0000000187034259|099.23
04112025|543218|0000000000000878|0000000000029440|0000000000000882|0000000000029667|099.55
04112025|543219|0000000000005330|0000000000147801|0000000000006821|0000000000189262|078.14
04112025|543220|0000000000070693|0000000080413288|0000000000092866|0000000106225867|076.12
04112025|543221|0000000000009775|0000000000378977|0000000000013728|0000000000532940|071.20
04112025|543223|0000000000000604|0000000000128109|0000000000000750|0000000000159651|080.53
04112025|543224|0000000000000045|0000000000002678|0000000000000049|0000000000002914|091.84
04112025|543226|0000000000000735|0000000000043909|0000000000000782|0000000000046633|093.99
04112025|543227|0000000000016894|0000000008560190|0000000000026760|0000000013562843|063.13
04112025|543228|0000000000019334|0000000013760975|0000000000036448|0000000026488409|053.05
04112025|543229|0000000000000052|0000000000014100|0000000000000052|0000000000014099|100.00
04112025|543230|0000000000006933|0000000012184401|0000000000011738|0000000020667156|059.06
04112025|543232|0000000000012050|0000000045809883|0000000000021221|0000000081294206|056.78
04112025|543233|0000000000000954|0000000000233253|0000000000004459|0000000001091727|021.39
04112025|543234|0000000000000002|0000000000000225|0000000000000002|0000000000000224|100.00
04112025|543235|0000000000006529|0000000016457651|0000000000021106|0000000053776497|030.93
04112025|543236|0000000000006733|0000000000693499|0000000000009085|0000000000946486|074.11
04112025|543237|0000000000039618|0000000106283209|0000000000084837|0000000229483431|046.70
04112025|543238|0000000000004507|0000000005458203|0000000000007614|0000000009291462|059.19
04112025|543239|0000000000001400|0000000000105000|0000000000001400|0000000000105007|100.00
04112025|543240|0000000000001907|0000000000453390|0000000000002636|0000000000620747|072.34
04112025|543241|0000000000000070|0000000000009447|0000000000000100|0000000000013468|070.00
04112025|543242|0000000000007313|0000000001009560|0000000000009789|0000000001354485|074.71
04112025|543243|0000000000234666|0000000014162094|0000000000380614|0000000023014863|061.65
04112025|543244|0000000000004000|0000000000168000|0000000000004000|0000000000168000|100.00
04112025|543245|0000000000012409|0000000023735315|0000000000024292|0000000046463288|051.08
04112025|543246|0000000000000517|0000000000022562|0000000000000634|0000000000027631|081.55
04112025|543248|0000000000018018|0000000001215134|0000000000042855|0000000002885047|042.04
