DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.,SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,Date
4022026,530555,108401,4266664,217537,8686112,49.83,530555,PARAMOUNT COMMUNICATIONS LTD.,B,STK,39.69,41.05,38.4,39.36,39.76,38.97,1361,217537,8686112,,2026-02-04
4022026,530557,1024553,481540,2179857,1004524,47.0,530557,NCL RESEARCH & FINANCIAL SERVI,X,STK,0.46,0.47,0.45,0.47,0.47,0.46,1066,2179857,1004524,,2026-02-04
4022026,530571,190,1529,190,1529,100.0,530571,EXPLICIT FINANCE LTD.,XT,STK,8.05,8.05,8.05,8.05,8.05,7.67,2,190,1529,,2026-02-04
4022026,530577,201,10553,201,10552,100.0,530577,LADDERUP FINANCE LTD.,X,STK,52.5,52.5,52.5,52.5,52.5,52.9,3,201,10552,,2026-02-04
4022026,530579,556,7354,556,7354,100.0,530579,U. Y. FINCORP LIMITED,T,STK,13.97,13.97,13.16,13.16,13.16,13.63,6,556,7354,,2026-02-04
4022026,530581,151,922,151,921,100.0,530581,EKAM LEASING & FINANCE CO.LTD.,X,STK,6.1,6.1,6.1,6.1,6.1,6.1,3,151,921,,2026-02-04
4022026,530585,24380,1368937,35787,2060070,68.13,530585,SWASTIKA INVESTMART LTD.,X,STK,61.0,61.0,55.71,56.15,56.15,56.99,219,35787,2060070,,2026-02-04
4022026,530589,265,30038,294,33760,90.14,530589,PRIMA PLASTICS LTD.,X,STK,114.7,116.0,113.2,113.35,113.35,117.0,22,294,33760,,2026-02-04
4022026,530595,67316,2492929,67316,2492929,100.0,530595,TELECANOR GLOBAL LTD.,XT,STK,35.86,38.5,35.86,36.24,36.0,37.74,160,67316,2492929,,2026-02-04
4022026,530615,16145,2216709,16182,2241103,99.77,530615,GARG FURNACE LTD.,X,STK,134.9,138.95,133.3,137.3,136.1,135.35,26,16182,2241103,,2026-02-04
4022026,530617,131586,3168591,242921,5851312,54.17,530617,SAMPRE NUTRITIONS LTD.,X,STK,24.95,24.95,23.36,24.08,24.19,24.42,397,242921,5851312,,2026-02-04
4022026,530621,11160,1121692,19548,1873062,57.09,530621,Akar Auto Industries Limited,X,STK,94.49,109.0,90.5,100.51,100.51,93.01,161,19548,1873062,,2026-02-04
4022026,530627,7532,1649132,7825,1678045,96.26,530627,Vipul Organics Limited,X,STK,217.0,220.0,211.0,218.95,219.0,212.95,75,7825,1678045,,2026-02-04
4022026,530643,12580,5115028,25742,10501496,48.87,530643,ECO RECYCLING LTD.,B,STK,405.0,415.0,399.0,406.6,408.0,400.9,963,25742,10501496,,2026-02-04
4022026,530655,2619,3069338,5379,6270915,48.69,530655,Goodluck India Limited,B,STK,1145.65,1178.9,1135.95,1171.95,1154.2,1145.65,436,5379,6270915,,2026-02-04
4022026,530663,95902,81517,137022,109515,69.99,530663,GOYAL ASSOCIATES LTD.,X,STK,0.91,0.91,0.76,0.85,0.85,0.91,95,137022,109515,,2026-02-04
4022026,530665,9995,33983,13458,46285,74.27,530665,ZENITH HEALTH CARE LTD.,X,STK,3.33,3.47,3.33,3.4,3.4,3.42,75,13458,46285,,2026-02-04
4022026,530675,831,46586,841,50295,98.81,530675,YORK EXPORTS LTD.,X,STK,59.85,59.85,56.06,56.06,56.06,57.0,11,841,50295,,2026-02-04
4022026,530677,2720,179085,4721,311738,57.61,530677,SUPREME HOLDINGS & HOSPITALITY,B,STK,65.99,69.99,64.03,65.84,65.84,64.0,67,4721,311738,,2026-02-04
4022026,530689,46426,2060851,64085,2801116,72.44,530689,LYKIS LIMITED,X,STK,45.54,45.9,42.5,44.39,44.99,44.36,169,64085,2801116,,2026-02-04
4022026,530695,1390,36001,1615,41549,86.07,530695,PRIME PROPERTY DEVELOPMENT COR,X,STK,25.5,28.6,25.35,25.9,25.9,25.53,38,1615,41549,,2026-02-04
4022026,530697,736,14198,788,15274,93.4,530697,Zenlabs Ethica Limited,X,STK,19.5,19.5,18.51,19.29,19.29,19.15,14,788,15274,,2026-02-04
