DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
10122025|500002|0000000000003630|0000000018711380|0000000000005769|0000000029693335|062.92
10122025|500003|0000000000002864|0000000002111771|0000000000004615|0000000003428409|062.06
10122025|500008|0000000000019499|0000000018417781|0000000000029178|0000000027532434|066.83
10122025|500009|0000000000012455|0000000000334542|0000000000017449|0000000000471250|071.38
10122025|500012|0000000000028800|0000000001441728|0000000000042773|0000000002131741|067.33
10122025|500013|0000000000017592|0000000000058804|0000000000017592|0000000000058804|100.00
10122025|500014|0000000000006479|0000000000032007|0000000000009273|0000000000045346|069.87
10122025|500016|0000000000001805|0000000000016137|0000000000001855|0000000000016459|097.30
10122025|500020|0000000000009399|0000000001211062|0000000000017406|0000000002299161|054.00
10122025|500023|0000000000000525|0000000000169155|0000000000001132|0000000000369012|046.38
10122025|500027|0000000000000357|0000000002095198|0000000000000566|0000000003315840|063.07
10122025|500028|0000000000020822|0000000000763127|0000000000029898|0000000001088665|069.64
10122025|500031|0000000000002964|0000000001405826|0000000000005373|0000000002543405|055.16
10122025|500032|0000000000229726|0000000004560062|0000000000434135|0000000008557266|052.92
10122025|500033|0000000000002438|0000000040793714|0000000000004176|0000000070588907|058.38
10122025|500034|0000000000028288|0000000028582196|0000000000091860|0000000092919852|030.79
10122025|500038|0000000000037512|0000000016792247|0000000000095524|0000000042264368|039.27
10122025|500039|0000000000006381|0000000004530191|0000000000012634|0000000009069933|050.51
10122025|500040|0000000000002384|0000000003937653|0000000000003621|0000000005987799|065.84
10122025|500041|0000000000000001|0000000000003562|0000000000000001|0000000000003561|100.00
10122025|500042|0000000000000321|0000000001286280|0000000000000568|0000000002282334|056.51
10122025|500043|0000000000001761|0000000001712045|0000000000004368|0000000004288695|040.32
10122025|500048|0000000000006052|0000000010145573|0000000000012338|0000000020691183|049.05
10122025|500049|0000000000256331|0000000099289813|0000000000525148|0000000204030933|048.81
10122025|500052|0000000000005039|0000000000449681|0000000000013559|0000000001216128|037.16
10122025|500058|0000000000018877|0000000000210857|0000000000021585|0000000000242525|087.45
10122025|500059|0000000000012626|0000000000084910|0000000000012626|0000000000084910|100.00
10122025|500060|0000000000001602|0000000000216511|0000000000002335|0000000000317456|068.61
10122025|500067|0000000000001754|0000000003033280|0000000000004240|0000000007323668|041.37
10122025|500068|0000000000000006|0000000000075534|0000000000000011|0000000000137351|054.55
10122025|500069|0000000000000020|0000000000006100|0000000000000020|0000000000006190|100.00
10122025|500074|0000000000005334|0000000000300358|0000000000008481|0000000000481028|062.89
10122025|500078|0000000000000535|0000000000151940|0000000000000657|0000000000187661|081.43
10122025|500083|0000000000006079|0000000000129779|0000000000006079|0000000000129779|100.00
