SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5199.05,5199.05,4982.8,5120.4,5123.95,5056.3,770,3113,15745642,
500003,"AEGIS LOGISTICS LTD.",A,STK,730.55,755.65,722.05,752.5,752.5,730.7,1498,21449,15918728,
500008,"Amara Raja Energy & Mobility L",A,STK,925.05,943.15,911.1,938,938.55,928.45,4956,48149,44579315,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,26.84,27.29,26.22,26.98,27,26.39,230,58387,1570829,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,49.39,49.39,48.01,48.83,48.75,48.41,355,38987,1895277,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.37,3.4,3.35,3.39,3.39,3.41,9,405,1370,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.92,4.99,4.63,4.89,4.89,4.82,58,6248,30268,
500016,"ARUNA HOTELS LTD.",X,STK,8.79,9,8,8.87,8.51,8.7,120,38645,339137,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,128,132.9,125,131.2,131.2,128.35,831,66384,8643341,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,325.25,328.95,322.6,328.95,328.95,326,55,1206,394451,
500027,"ATUL LTD.",A,STK,5748.85,5880.25,5612,5869.7,5865,5729.95,306,957,5531503,
500028,"ATV PROJECTS INDIA LTD.",X,STK,37.9,38,33.1,36.04,36,36.62,263,47851,1724078,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,475.05,477,458,472.6,477,478.35,764,19281,9040932,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,18.72,19.11,18.21,19.02,19.06,18.75,815,268476,5021061,
500033,"FORCE MOTORS LTD.",A,STK,17102.05,17621.9,16916,17120,17144,17195,1020,2991,51549730,
500034,"BAJAJ FINANCE LIMITED",A,STK,1022.1,1025.15,1014,1016.5,1016.3,1026.25,4877,97342,99225118,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,429.95,430,408.65,416.15,417,429,10786,234250,97569658,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,706.15,734.5,693.25,728,728,706.2,2354,48485,34502586,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1657,1659.05,1610.05,1630.3,1629.8,1657.4,5531,40114,65425893,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3695.45,3695.45,3561.85,3561.85,3561.85,3698.95,3,4,14514,
500042,"BASF INDIA LTD.",A,STK,3985.65,4076.85,3981.95,4023.15,4033.1,4024.35,295,960,3856281,
500043,"BATA INDIA LTD.",A,STK,959.35,996,942.5,983.6,983.6,949.55,1235,14133,13690894,
500048,"BEML LTD.",A,STK,1642.8,1690,1600.1,1684.45,1684.45,1642.05,3453,29699,48917558,
500049,"BHARAT ELECTRONICS LTD.",A,STK,386.05,391,380.6,389.65,389.65,386.5,29311,1338925,516969737,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,89.12,89.88,88.14,88.23,88.2,89.7,465,20848,1853678,
500058,"BIHAR SPONGE IRON LTD.",X,STK,10.9,11.31,10.11,11.12,11,10.9,142,21705,233013,
500059,"BIL VYAPAR LIMITED",T,STK,7,7,6.86,6.86,6.86,7.22,21,6482,44681,
500060,"Birla Cable Limited",B,STK,133,134.85,129.9,134.4,134.35,132.35,91,3173,422513,
500067,"BLUE STAR LTD.",A,STK,1721.2,1751.4,1705.5,1740,1741.2,1720.8,708,4155,7164262,
500068,"DISA INDIA LTD.",B,STK,12598.95,12598.95,12101,12382.35,12499,12690,41,141,1746241,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,304,305,301,305,305,301.1,9,235,71504,
500074,"BPL LTD.",B,STK,53.9,58.73,51.05,56.09,56.09,51.08,1275,46804,2632746,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,280.3,287.95,274.75,278.3,279.35,285.3,203,1186,331337,
500083,"CENTURY EXTRUSIONS LTD.",T,STK,20.87,22,20.34,21.75,21.95,21.41,78,15761,331661,
500084,"CESC LTD.",A,STK,167.65,168.2,165.1,165.95,165.95,168.55,2568,112559,18708734,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,415.15,420.9,410.15,419.9,419.9,420.9,2787,97148,40252545,
500086,"EXIDE INDUSTRIES LTD.",A,STK,370.05,374.5,366.8,373.4,373.4,373.25,3847,99939,37083281,
500087,"CIPLA LTD.",A,STK,1497.5,1502,1487,1490.7,1490.7,1497.45,2549,23472,35102471,
500089,"DIC INDIA LTD.",B,STK,500,505,487.6,489.1,489.1,495,24,358,177738,
500092,"CRISIL LTD.",A,STK,4333.75,4415.55,4284,4400.1,4404,4345.85,825,2851,12378037,
500093,"CG Power and Industrial Soluti",A,STK,638.75,670.9,635,668.4,668.4,647.1,2627,81217,53237335,
500096,"DABUR INDIA LTD.",A,STK,502.3,505.7,498,503.45,504.6,504.65,2598,82577,41590856,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,287.25,288.95,280,281.95,281.95,292,281,7292,2083902,
500101,"ARVIND LTD.",A,STK,322.6,329.25,316.6,327.45,327.45,324.25,421,6374,2064840,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,269.15,280.55,268.6,277.1,277.1,269.7,7924,663460,182635178,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,445.8,453.75,442.7,448.6,448.6,445.8,5021,104518,46868487,
500106,"IFCI LTD.",A,STK,47.39,48.55,46.2,48.37,48.55,47.44,3447,635539,30166692,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,34.1,38.63,34.04,36.25,36.25,34.98,2394,588482,21637344,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,149.8,154.55,146.2,153.6,153.6,150.4,2636,229529,34659320,
