DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
06012026|524624|0000000000003085|0000000000070709|0000000000003331|0000000000076187|092.61
06012026|524628|0000000000000027|0000000000000554|0000000000000027|0000000000000554|100.00
06012026|524632|0000000000188304|0000000009718915|0000000000188304|0000000009718915|100.00
06012026|524634|0000000000012870|0000000005708489|0000000000016458|0000000007226244|078.20
06012026|524636|0000000000001979|0000000000109756|0000000000002229|0000000000124427|088.78
06012026|524640|0000000000003304|0000000000145410|0000000000003704|0000000000163359|089.20
06012026|524642|0000000000029645|0000000000034389|0000000000029645|0000000000034324|100.00
06012026|524648|0000000000001223|0000000000154221|0000000000002130|0000000000271688|057.42
06012026|524654|0000000000000149|0000000000028012|0000000000000149|0000000000028139|100.00
06012026|524661|0000000006547205|0000000002749827|0000000016322557|0000000007083758|040.11
06012026|524663|0000000000018736|0000000000368163|0000000000021808|0000000000429336|085.91
06012026|524667|0000000000000833|0000000000316124|0000000000001304|0000000000494766|063.88
06012026|524669|0000000000000056|0000000000088536|0000000000000133|0000000000211878|042.11
06012026|524675|0000000000002109|0000000000033491|0000000000002714|0000000000042377|077.71
06012026|524687|0000000000014956|0000000000172742|0000000000019465|0000000000225765|076.84
06012026|524703|0000000000000125|0000000000004730|0000000000000145|0000000000005510|086.21
06012026|524709|0000000000041596|0000000007499759|0000000000043082|0000000007729263|096.55
06012026|524711|0000000000006608|0000000000055309|0000000000006720|0000000000056665|098.33
06012026|524715|0000000000020750|0000000036523113|0000000000034920|0000000061023007|059.42
06012026|524717|0000000000004587|0000000004945452|0000000000004587|0000000004945452|100.00
06012026|524731|0000000000000317|0000000000355247|0000000000000465|0000000000518646|068.17
06012026|524735|0000000000005361|0000000001196040|0000000000010475|0000000002338499|051.18
06012026|524742|0000000000003057|0000000005623199|0000000000005283|0000000009712604|057.86
06012026|524743|0000000000019270|0000000000800091|0000000000046061|0000000001936015|041.84
06012026|524748|0000000000003240|0000000000097460|0000000000003241|0000000000097531|099.97
06012026|524752|0000000000003379|0000000000031560|0000000000003633|0000000000034472|093.01
06012026|524768|0000000000001027|0000000000030133|0000000000001911|0000000000056141|053.74
06012026|524774|0000000000000108|0000000000154057|0000000000000114|0000000000162542|094.74
06012026|524790|0000000000001128|0000000000578439|0000000000001633|0000000000826526|069.08
06012026|524804|0000000000046204|0000000056909467|0000000000062056|0000000076185088|074.46
06012026|524808|0000000000003049|0000000000085525|0000000000004236|0000000000120456|071.98
06012026|524816|0000000000027348|0000000025329718|0000000000067790|0000000062864434|040.34
06012026|524818|0000000000000515|0000000000059200|0000000000000744|0000000000086054|069.22
06012026|524820|0000000000001256|0000000000379501|0000000000002422|0000000000734741|051.86
06012026|524824|0000000000000753|0000000000055000|0000000000000754|0000000000055058|099.87
06012026|524828|0000000000001852|0000000000763063|0000000000001852|0000000000763063|100.00
06012026|526001|0000000000029824|0000000000277960|0000000000030104|0000000000304117|099.07
06012026|526025|0000000000003272|0000000000046496|0000000000003665|0000000000052340|089.28
06012026|526027|0000000000023222|0000000002691430|0000000000043201|0000000005114459|053.75
06012026|526071|0000000000000121|0000000000054141|0000000000000121|0000000000054141|100.00
06012026|526073|0000000000000192|0000000000092506|0000000000000228|0000000000110127|084.21
06012026|526081|0000000000037181|0000000001609051|0000000000037181|0000000001609051|100.00
06012026|526095|0000000000000633|0000000000026827|0000000000001112|0000000000046119|056.92
06012026|526113|0000000000001382|0000000000021048|0000000000002114|0000000000032826|065.37
06012026|526115|0000000000005271|0000000000064307|0000000000005365|0000000000063511|098.25
06012026|526117|0000000000000543|0000000000238893|0000000000000543|0000000000238805|100.00
06012026|526125|0000000000000586|0000000000221860|0000000000000717|0000000000273928|081.73
06012026|526133|0000000000003480|0000000000023978|0000000000003482|0000000000023956|099.94
06012026|526137|0000000000000146|0000000000018674|0000000000000147|0000000000018332|099.32
06012026|526139|0000000000013043|0000000000037303|0000000000019623|0000000000056399|066.47
06012026|526143|0000000000008803|0000000000069984|0000000000008833|0000000000071492|099.66
06012026|526159|0000000000015163|0000000001180592|0000000000016392|0000000001279970|092.50
06012026|526161|0000000000000281|0000000000025231|0000000000000291|0000000000026186|096.56
06012026|526169|0000000000003210|0000000000726905|0000000000004215|0000000000953640|076.16
06012026|526173|0000000000045069|0000000001042446|0000000000056372|0000000001307358|079.95
06012026|526179|0000000000003157|0000000000789250|0000000000003238|0000000000821410|097.50
06012026|526187|0000000000003500|0000000000017710|0000000000003500|0000000000017710|100.00
06012026|526193|0000000000009722|0000000000237217|0000000000011744|0000000000289137|082.78
06012026|526211|0000000000002586|0000000000108845|0000000000002977|0000000000132612|086.87
06012026|526217|0000000000000600|0000000000102840|0000000000000800|0000000000136362|075.00
06012026|526227|0000000000015369|0000000000756770|0000000000023320|0000000001138960|065.90
06012026|526231|0000000000000423|0000000000021510|0000000000000524|0000000000026237|080.73
06012026|526237|0000000000006739|0000000000519240|0000000000008308|0000000000647342|081.11
06012026|526241|0000000000005766|0000000000082858|0000000000006301|0000000000087754|091.51
06012026|526247|0000000000009214|0000000004908298|0000000000012432|0000000006644297|074.12
06012026|526263|0000000000003032|0000000000445098|0000000000003453|0000000000510850|087.81
06012026|526269|0000000000000867|0000000000098405|0000000000001239|0000000000138338|069.98
06012026|526299|0000000000001184|0000000003334914|0000000000001926|0000000005426969|061.47
06012026|526315|0000000000017481|0000000000960931|0000000000017859|0000000000972196|097.88
06012026|526325|0000000000000051|0000000000003876|0000000000000051|0000000000003876|100.00
06012026|526335|0000000000000730|0000000000006515|0000000000000730|0000000000006515|100.00
06012026|526345|0000000000006840|0000000000116417|0000000000007509|0000000000127954|091.09
06012026|526355|0000000000000301|0000000000020348|0000000000000306|0000000000020145|098.37
06012026|526365|0000000000004023|0000000000123949|0000000000006301|0000000000195826|063.85
06012026|526367|0000000000000219|0000000000174598|0000000000000344|0000000000273628|063.66
06012026|526371|0000000000405090|0000000033958695|0000000001326382|0000000111447502|030.54
06012026|526373|0000000000000151|0000000000008487|0000000000000154|0000000000008655|098.05
06012026|526381|0000000000015660|0000000000210314|0000000000015924|0000000000214934|098.34
06012026|526397|0000000000000303|0000000000069084|0000000000000336|0000000000077079|090.18
06012026|526407|0000000000013594|0000000000194803|0000000000014167|0000000000201661|095.96
06012026|526409|0000000000012746|0000000000111655|0000000000018416|0000000000163012|069.21
06012026|526415|0000000000256600|0000000001996348|0000000000301646|0000000002317375|085.07
06012026|526423|0000000000003232|0000000000282122|0000000000003861|0000000000332370|083.71
06012026|526433|0000000000003374|0000000010637716|0000000000004933|0000000015610758|068.40
