DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
12012026|940625|0000000000000010|0000000000008188|0000000000000010|0000000000008188|100.00
12012026|940629|0000000000000024|0000000000023112|0000000000000024|0000000000022482|100.00
12012026|940637|0000000000000093|0000000000093465|0000000000000095|0000000000095150|097.89
12012026|940643|0000000000000220|0000000000220121|0000000000000304|0000000000308199|072.37
12012026|940649|0000000000000053|0000000000052470|0000000000000053|0000000000052489|100.00
12012026|940663|0000000000000213|0000000000212756|0000000000000213|0000000000212854|100.00
12012026|940667|0000000000000001|0000000000000971|0000000000000001|0000000000000970|100.00
12012026|940675|0000000000000010|0000000000009800|0000000000000020|0000000000019453|050.00
12012026|940677|0000000000000059|0000000000058410|0000000000000059|0000000000058370|100.00
12012026|940681|0000000000000060|0000000000059970|0000000000000060|0000000000059970|100.00
12012026|940683|0000000000000037|0000000000035890|0000000000000037|0000000000035890|100.00
12012026|940689|0000000000000010|0000000000009510|0000000000000010|0000000000009510|100.00
12012026|940699|0000000000000010|0000000000009850|0000000000000010|0000000000009850|100.00
12012026|940703|0000000000000010|0000000000009900|0000000000000010|0000000000009900|100.00
12012026|940709|0000000000000212|0000000000207629|0000000000000212|0000000000208284|100.00
12012026|940713|0000000000000213|0000000000212900|0000000000000214|0000000000213521|099.53
12012026|940715|0000000000000177|0000000000173814|0000000000000177|0000000000174351|100.00
12012026|940719|0000000000000030|0000000000029400|0000000000000060|0000000000058180|050.00
12012026|940725|0000000000000001|0000000000000981|0000000000000001|0000000000000980|100.00
12012026|940727|0000000000000010|0000000000009900|0000000000000010|0000000000009900|100.00
12012026|940735|0000000000000010|0000000000008360|0000000000000010|0000000000008360|100.00
12012026|940741|0000000000000010|0000000000008900|0000000000000010|0000000000008905|100.00
12012026|940757|0000000000000081|0000000000076788|0000000000000083|0000000000074473|097.59
12012026|940759|0000000000000439|0000000000424074|0000000000000447|0000000000432407|098.21
12012026|940765|0000000000000018|0000000000017910|0000000000000018|0000000000017910|100.00
12012026|940767|0000000000000116|0000000000110434|0000000000000116|0000000000111163|100.00
12012026|940771|0000000000000010|0000000000009013|0000000000000010|0000000000009012|100.00
12012026|940773|0000000000000009|0000000000008190|0000000000000009|0000000000008189|100.00
12012026|940777|0000000000000230|0000000000205726|0000000000000230|0000000000206863|100.00
12012026|940779|0000000000000001|0000000000000991|0000000000000001|0000000000000991|100.00
12012026|940783|0000000000000107|0000000000107642|0000000000000107|0000000000107745|100.00
12012026|940785|0000000000000137|0000000000137809|0000000000000137|0000000000137807|100.00
12012026|940789|0000000000000010|0000000000010170|0000000000000010|0000000000010169|100.00
12012026|940797|0000000000000973|0000000001021650|0000000000000973|0000000001021620|100.00
12012026|940799|0000000000000246|0000000000239299|0000000000000256|0000000000247223|096.09
12012026|940803|0000000000000001|0000000000000986|0000000000000001|0000000000000986|100.00
12012026|940819|0000000000000090|0000000000087300|0000000000000090|0000000000087350|100.00
12012026|940821|0000000000000001|0000000000001000|0000000000000001|0000000000001000|100.00
12012026|940825|0000000000000009|0000000000008551|0000000000000009|0000000000008570|100.00
12012026|940835|0000000000000067|0000000000067000|0000000000000067|0000000000066800|100.00
12012026|940837|0000000000000041|0000000000040631|0000000000000041|0000000000040701|100.00
12012026|940841|0000000000000051|0000000000051357|0000000000000051|0000000000051357|100.00
12012026|961714|0000000000000062|0000000001001300|0000000000000062|0000000001012100|100.00
12012026|961718|0000000000000050|0000000000814000|0000000000000050|0000000000813700|100.00
12012026|961728|0000000000000100|0000000000105080|0000000000000100|0000000000105080|100.00
12012026|961730|0000000000000020|0000000000021010|0000000000000020|0000000000021010|100.00
12012026|961734|0000000000000161|0000000000176941|0000000000000161|0000000000176827|100.00
12012026|961744|0000000000000030|0000000000032370|0000000000000030|0000000000032370|100.00
12012026|961753|0000000000028740|0000000029817463|0000000000028980|0000000030065187|099.17
12012026|961754|0000000000050000|0000000056204000|0000000000050000|0000000056204000|100.00
12012026|961765|0000000000000100|0000000000110564|0000000000000100|0000000000110564|100.00
12012026|961767|0000000000000100|0000000000108810|0000000000000100|0000000000108810|100.00
12012026|961770|0000000000000150|0000000000164250|0000000000000150|0000000000164250|100.00
12012026|961776|0000000000000100|0000000000107967|0000000000000100|0000000000107967|100.00
12012026|961779|0000000000000038|0000000000041436|0000000000000038|0000000000041447|100.00
12012026|961796|0000000000000128|0000000000139904|0000000000000128|0000000000139904|100.00
12012026|961797|0000000000000100|0000000000130000|0000000000000100|0000000000130000|100.00
12012026|961801|0000000000000001|0000000000001213|0000000000000001|0000000000001212|100.00
12012026|961803|0000000000000360|0000000000394920|0000000000000360|0000000000395070|100.00
12012026|961804|0000000000000015|0000000000018545|0000000000000015|0000000000018544|100.00
12012026|961810|0000000000000309|0000000000378525|0000000000000309|0000000000378634|100.00
12012026|961816|0000000000000328|0000000000407672|0000000000000330|0000000000410845|099.39
12012026|961822|0000000000000001|0000000000001221|0000000000000001|0000000000001220|100.00
