SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,4720.15,4806.45,4720,4757.7,4757.7,4706.35,497,2690,12820212,
500003,"AEGIS LOGISTICS LTD.",A,STK,669.15,669.15,651.5,658.65,658.65,658.55,880,9750,6427864,
500008,"Amara Raja Energy & Mobility L",A,STK,850.85,859.55,847.8,854.65,853.5,851.45,1539,105997,90558850,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,25.5,26.9,25.5,26.07,26.1,26.09,146,32811,855837,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,44.26,48,44.26,46.33,46.33,44.16,383,57065,2636889,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.08,3.2,3.08,3.2,3.2,3.14,25,10575,33661,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.6,5,4.6,4.75,4.75,4.79,53,7866,37748,
500016,"ARUNA HOTELS LTD.",X,STK,8.22,8.22,7.14,7.23,7.81,7.27,59,12782,97327,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,116.05,120.65,113.5,114.8,114.8,115,960,84519,9850950,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,312.2,315.2,309,309,309,311.5,105,3356,1051238,
500027,"ATUL LTD.",A,STK,5751.05,5885.1,5751.05,5773.75,5782.9,5811.9,341,961,5594719,
500028,"ATV PROJECTS INDIA LTD.",X,STK,32.22,36.5,32.22,35.26,35.28,32.83,267,27624,968757,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,400.65,402.45,390,393.8,392.05,393.55,406,19263,7615927,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,15.7,16.4,15.7,16.25,16.35,15.8,1087,535494,8670618,
500033,"FORCE MOTORS LTD.",A,STK,19997.9,20767.85,19997.9,20693.1,20720,19799.75,1435,4585,94091258,
500034,"BAJAJ FINANCE LIMITED",A,STK,943.95,947.65,934.75,943,943,936.1,19258,708936,666080724,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,397.9,409.35,397.9,403.8,404,397.8,326,5834,2362781,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,574.25,587.2,568,576.75,576.75,572.05,1302,28114,16263174,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1345.05,1380.7,1334.7,1345.6,1345.6,1347.85,1144,10381,14083140,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3600,3600,3570.1,3570.1,3570.1,3769.85,6,9,32160,
500042,"BASF INDIA LTD.",A,STK,3571,3662.05,3571,3648.2,3660,3558.3,322,96767,350306962,
500043,"BATA INDIA LTD.",A,STK,895,895,870,878.35,878.35,881.35,455,4062,3582394,
500048,"BEML LTD.",A,STK,1689,1727.45,1679.35,1682.35,1690.65,1676.2,871,8667,14737720,
500049,"BHARAT ELECTRONICS LTD.",A,STK,406,418.55,406,417.6,417.6,402.5,24218,778835,322099797,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,82.51,83.47,82.05,82.53,82.53,82.03,132,7185,595490,
500058,"BIHAR SPONGE IRON LTD.",X,STK,11.3,11.98,11.3,11.67,11.7,11.25,133,18811,219727,
500059,"BIL VYAPAR LIMITED",T,STK,7.37,7.37,6.67,7.29,7.29,7.02,7,2698,18354,
500060,"Birla Cable Limited",B,STK,125.05,129,125.05,125.6,125.55,124.2,45,2643,336023,
500067,"BLUE STAR LTD.",A,STK,1714.9,1742,1705.9,1711.75,1716.2,1714.05,1012,8167,14091944,
