SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5700,6246.75,5700,5985.35,5985.35,5715.65,30879,272527,1663756016,
500003,"AEGIS LOGISTICS LTD.",A,STK,681.35,699.9,679,693.55,693.3,681.35,733,13937,9637397,
500008,"Amara Raja Energy & Mobility L",A,STK,855.05,862,840.35,855.45,855.6,847,1093,19690,16830328,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,26.22,26.9,26.22,26.47,26.36,26.58,238,52656,1398974,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,43.02,43.58,42,42.22,42.21,43.02,271,33371,1414042,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.66,3.66,3.66,3.66,3.66,3.59,4,840,3074,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.74,4.74,4.5,4.61,4.62,4.59,34,2631,11944,
500016,"ARUNA HOTELS LTD.",X,STK,8.1,8.29,7.35,7.7,7.7,8.02,31,9531,73019,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,115.4,116.95,115.05,115.25,115.25,116.6,321,19971,2317156,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,302.55,306,292.05,297.5,297.9,299.35,73,3241,981431,
500027,"ATUL LTD.",A,STK,6558.15,6615,6524.5,6583.6,6573.1,6601.35,187,429,2817075,
500028,"ATV PROJECTS INDIA LTD.",X,STK,35.78,35.78,32.3,33.23,33.6,34.17,123,12028,404436,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,383,388,378.05,384.25,383.1,383.35,289,257184,97738634,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,15.69,15.83,15.5,15.56,15.56,15.83,576,297194,4667526,
500033,"FORCE MOTORS LTD.",A,STK,24123,24533.5,23338.9,24470.2,24470.2,24124.05,2068,5547,132973977,
500034,"BAJAJ FINANCE LIMITED",A,STK,1014.3,1036.95,1009.25,1029.15,1029.15,1014.25,4683,1025362,1050501105,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,466.95,466.95,454.85,456.25,456.8,456.75,309,6336,2892828,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,649.65,664.85,647.7,650.9,651,649.7,826,12333,8072447,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1321.4,1341.3,1295.6,1299.4,1297,1348.35,767,6937,9139768,
500042,"BASF INDIA LTD.",A,STK,3551,3600,3526.15,3572.25,3565.1,3550.9,260,824,2930379,
500043,"BATA INDIA LTD.",A,STK,825.7,825.7,810,811.95,811.95,825.6,1465,13921,11376684,
500048,"BEML LTD.",A,STK,1719.6,1744.5,1701,1706.3,1708,1721.3,1830,19057,32704033,
500049,"BHARAT ELECTRONICS LTD.",A,STK,434.45,445.15,434.45,441.15,441.15,435.55,12802,826697,365584473,
500052,"BHANSALI ENGINEERING POLYMERS",B,STK,85.48,86.28,83.32,83.45,83.55,84.33,168,7180,604356,
500058,"BIHAR SPONGE IRON LTD.",X,STK,14.39,14.8,13.2,13.49,13.75,13.76,663,503904,7123189,
500059,"BIL VYAPAR LIMITED",T,STK,7.14,7.14,6.8,6.88,6.8,7.15,10,814,5568,
500060,"Birla Cable Limited",B,STK,143,144,139,140.4,140,141.05,87,1425,201499,
500067,"BLUE STAR LTD.",A,STK,1960.45,1979.6,1951.3,1968.25,1966,1969.55,2212,113591,224247617,
500068,"DISA INDIA LTD.",B,STK,11792.6,12275,11792.6,12154.45,12154.45,11792.6,64,113,1359190,
500069,"QUEST CAPITAL MARKETS LIMITED",X,STK,281,281,270.15,270.8,270.8,281.9,42,1661,455240,
500074,"BPL LTD.",B,STK,56.65,57.35,54.82,55.64,55.55,56.58,71,3700,207335,
500078,"ORIENTAL AROMATICS LIMITED",B,STK,280.05,287.05,279,284.95,285.15,277.5,257,8147,2307088,
500083,"CENTURY EXTRUSIONS LTD.",B,STK,21,21.5,21,21.04,21.04,21.25,26,713,15249,
500084,"CESC LTD.",A,STK,151,157.15,151,155.45,155,151.65,2111,272585,42241647,
500085,"CHAMBAL FERTILISERS & CHEMICAL",A,STK,459.55,459.55,451.35,454.35,454.35,458.45,886,16809,7638077,
500086,"EXIDE INDUSTRIES LTD.",A,STK,333,338.9,332.3,336.4,336.4,333.35,2367,70690,23735397,
500087,"CIPLA LTD.",A,STK,1341.05,1342.95,1324.1,1341.45,1341.45,1329.05,5262,434916,580033746,
500089,"DIC INDIA LTD.",B,STK,555,555,540.05,550.95,551,546.35,21,503,276477,
500092,"CRISIL LTD.",A,STK,4610.75,4610.75,4511.2,4567.65,4535.2,4523.75,470,49445,226550174,
500093,"CG Power and Industrial Soluti",A,STK,691.85,717.55,691.6,712.45,712.45,696.3,2946,77283,54755888,
500096,"DABUR INDIA LTD.",A,STK,500.5,511,500.5,509.9,509.25,501.6,587,14564,7398890,
500097,"DALMIA BHARAT SUGAR AND INDUST",B,STK,281.85,286.1,280,284.05,284.8,284.9,53,1366,383736,
500101,"ARVIND LTD.",A,STK,364,369.8,361.1,367.65,367.65,365.4,550,16218,5916030,
500103,"BHARAT HEAVY ELECTRICALS LTD.",A,STK,252.65,259.5,251,257.15,257.15,254.05,5991,626895,160622807,
500104,"HINDUSTAN PETROLEUM CORPORATIO",A,STK,430,435.2,427.05,431.15,431.15,434.7,4582,146934,63135922,
500106,"IFCI LTD.",A,STK,61.38,61.38,59.6,59.96,59.96,61.49,5129,1374655,83384479,
500108,"MAHANAGAR TELEPHONE NIGAM LTD.",B,STK,30.01,30.59,30.01,30.17,30.4,30.54,296,57079,1731247,
500109,"MANGALORE REFINERY & PETROCHEM",A,STK,193.85,196.4,190.35,191.1,191.1,193.75,3715,392367,75715726,
500110,"CHENNAI PETROLEUM CORPORATION",A,STK,893.7,905.2,880.8,882.55,882.9,894.55,1265,25039,22304385,
500112,"STATE BANK OF INDIA",A,STK,1206.05,1218,1201.55,1216.15,1216.15,1207,21442,646555,782079292,
500113,"STEEL AUTHORITY OF INDIA LTD.",A,STK,156,160,155.3,158.8,158.8,155.8,5235,1048426,165533926,
500114,"TITAN COMPANY LIMITED",A,STK,4201.65,4251.85,4197.95,4235.6,4235.6,4197.25,1899,12630,53491930,
500116,"IDBI BANK LTD.",A,STK,111.62,114.85,110.44,112.92,112.92,110.54,5220,894644,101367102,
500117,"DCW LTD.",B,STK,50,51.67,49.8,50.4,50.4,50.84,477,32658,1649103,
500119,"DHAMPUR SUGAR MILLS LTD.",B,STK,115.3,115.3,113,113.45,113.35,115.4,242,20576,2347844,
500120,"DIAMINES & CHEMICALS LTD.",B,STK,230,236,230,235.25,236,238.1,40,714,165737,
500123,"ELANTAS BECK INDIA LTD.",B,STK,9320.05,9347.45,9101,9252.55,9190.65,9217.8,188,334,3081961,
500124,"DR.REDDYS LABORATORIES LTD.",A,STK,1281.95,1292,1276.85,1280.3,1277.05,1279.75,1243,13208,16975656,
500125,"E.I.D.-PARRY (INDIA) LTD.",A,STK,914.05,914.05,884,886.75,886.5,895.75,1043,6982,6204761,
500126,"PROCTER & GAMBLE HEALTH LIMITE",A,STK,4999.55,5061,4955,5016.75,5055,5017.45,126,265,1323119,
500128,"ELECTROSTEEL CASTINGS LTD.",A,STK,70.01,71.22,69.9,70.54,70.7,71.2,483,42829,3020199,
500133,"ESAB INDIA LTD.",A,STK,5989.95,5989.95,5460.9,5468.3,5472.05,5500,54,202,1116759,
500135,"EPL LIMITED",A,STK,215,215.05,210.45,212.7,212.2,214.75,339,11459,2443307,
500136,"ESTER INDUSTRIES LTD.",B,STK,102.17,103.35,100.14,101.67,101.67,102.56,85,1559,159468,
500142,"FGP LTD.",X,STK,9.94,9.94,9.48,9.89,9.89,9.94,18,1295,12511,
500143,"PH CAPITAL LTD.",XT,STK,580,580,579,579,579,569.55,34,4244,2461417,
500144,"FINOLEX CABLES LTD.",A,STK,800.05,812,787.7,792.35,799.9,801.2,690,7579,6062053,
500147,"JOHN COCKERILL INDIA LIMITED",B,STK,4849.95,4933,4820,4839.2,4839.2,4862,411,2806,13653833,
500148,"UFLEX LTD.",B,STK,463.6,463.6,456,457.2,457.25,457.55,31,261,119995,
500150,"FOSECO INDIA LTD.",B,STK,4600,4789.5,4600,4760.2,4760.35,4601.55,16,41,195771,
500151,"GOLDEN TOBACCO LTD.",Z,STK,29.98,29.99,28.61,28.66,28.66,29.98,7,191,5613,
500153,"GANESH BENZOPLAST LTD.",B,STK,80,89.99,79.76,87.77,87.77,81,1073,1034647,83935089,
500159,"METROGLOBAL LIMITED",X,STK,114.05,115,112.5,113.85,113.4,114.55,32,2682,306133,
500160,"GTL LTD.",B,STK,7.49,7.62,7.25,7.38,7.49,7.41,132,57178,422137,
500163,"GODFREY PHILLIPS INDIA LTD.",A,STK,2489.75,2517.45,2384.55,2491,2491,2523,14257,200659,489722311,
500164,"GODREJ INDUSTRIES LTD.",A,STK,1008.85,1044.5,1008.85,1033.75,1039,1027.6,790,8907,9124873,
500165,"KANSAI NEROLAC PAINTS LTD.",A,STK,200.5,200.6,198,199.05,198.8,200.55,573,21090,4210461,
500166,"GOODRICKE GROUP LTD.",X,STK,156.5,159,152.7,155.5,157.5,157.2,57,1742,273159,
500168,"GOODYEAR INDIA LTD.",B,STK,798,811,798,809.15,811,808.45,239,2544,2054579,
500170,"GTN INDUSTRIES LTD.",X,STK,22.9,22.9,20.14,21.58,22.3,22.39,10,567,12738,
500171,"GHCL LTD.",A,STK,498.4,498.4,492,497.2,496,498.3,381,2686,1331670,
500173,"GFL LIMITED",B,STK,51,51,47.27,47.61,47.55,47.57,24,4149,197850,
500174,"GUJARAT LEASE FINANCING LTD.",B,STK,7.32,7.32,6.83,7.25,7.25,7.18,12,1705,11685,
500179,"HCL INFOSYSTEMS LTD.",B,STK,12.95,13.01,12.73,12.86,12.86,12.7,187,18243,235117,
500180,"HDFC BANK LTD.",A,STK,909.95,918,908.4,911.9,911.9,916.05,24514,921385,842332147,
500182,"HERO MOTOCORP LTD.",A,STK,5409.6,5470,5375.4,5462.5,5455.25,5412.45,1622,15133,82051978,
500183,"HFCL LIMITED",A,STK,71.01,72,70.28,71.34,71.34,71.45,2505,496685,35282634,
500184,"Himadri Speciality Chemical Lt",A,STK,474.35,492.6,471.25,490.05,490.05,472.95,2874,145703,70608171,
500185,"HINDUSTAN CONSTRUCTION CO.LTD.",A,STK,18.82,18.88,18.61,18.69,18.69,18.85,821,597600,11200489,
500186,"HINDUSTAN OIL EXPLORATION CO.L",B,STK,134.65,136.7,131.9,132.15,132.7,134.5,556,39605,5328867,
500187,"AGI GREENPAC LIMITED",A,STK,574.2,576,559.75,573.45,574,576.15,477,4961,2818559,
500188,"HINDUSTAN ZINC LTD.",A,STK,587,591.5,582.8,589.6,589.6,584,3566,173432,102064087,
500189,"NDL Ventures Limited",B,STK,120.14,120.14,113,113.9,113.5,125.57,675,11793,1372480,
500191,"HMT LTD.",Z,STK,47.99,47.99,47.99,47.99,47.99,45.71,37,9309,446738,
500192,"PRAG BOSIMI SYNTHETICS LTD.",X,STK,1.84,1.84,1.79,1.84,1.84,1.81,11,1603,2906,
500193,"HLV LIMITED",B,STK,8.85,8.91,8.65,8.7,8.7,8.8,228,18590,162281,
500199,"I G PETROCHEMICALS LTD.",B,STK,363.1,371.35,362.3,369.4,369.4,364.45,97,1177,433120,
500201,"INDIA GLYCOLS LTD.",B,STK,940,951.4,931.05,946.75,951.4,945.95,193,1923,1812239,
500202,"INDIA LEASE DEVELOPMENT LTD.",X,STK,8,8,8,8,8,8,1,750,6000,
500206,"MARGO FINANCE LIMITED",X,STK,63.4,63.4,62.78,62.78,62.78,63.4,10,20,1258,
500207,"INDO RAMA SYNTHETICS (INDIA) L",B,STK,36.55,37.21,36.21,36.86,37.06,36.86,48,2081,76640,
500209,"INFOSYS LTD.",A,STK,1355.05,1365.75,1338.85,1352.75,1352.75,1369.6,16377,596719,808358198,
500210,"INGERSOLL-RAND (INDIA) LTD.",A,STK,3835.45,3868.45,3824.15,3838.45,3854,3833.1,174,841,3234599,
500213,"INTERNATIONAL TRAVEL HOUSE LTD",X,STK,344.95,345,332.6,338.75,337,343.95,137,1504,507613,
500214,"ION EXCHANGE (INDIA) LTD.",A,STK,377.35,386.9,374.35,382.7,378.25,377.35,289,4246,1625940,
500215,"SUNDROP BRANDS LIMITED",B,STK,674.05,675,659.9,667.75,660,679.5,170,855,575245,
500219,"JAIN IRRIGATION SYSTEMS LTD.",A,STK,35.56,36.38,35.52,35.95,36.07,36,228,26342,947889,
500220,"JASCH INDUSTRIES LTD.",X,STK,163,164.5,162,163.95,164.5,162.35,26,1500,245493,
500227,"JINDAL POLY FILMS LTD.",B,STK,486.2,494.45,482.9,490.1,489.95,486.15,134,1396,683674,
500228,"JSW STEEL LTD.",A,STK,1231.1,1253.5,1223.9,1236.35,1234,1228.15,1592,22138,27496295,
500233,"KAJARIA CERAMICS LTD.",A,STK,997.65,1001.6,972.7,993.7,1000,998,1146,10507,10376604,
500234,"KAKATIYA CEMENT SUGAR & INDUST",B,STK,114,120,114,118.15,120,113.4,34,479,55811,
500235,"KALYANI STEELS LTD.",B,STK,744,752.95,740.95,748.4,749.3,746.9,55,977,731263,
500236,"KANEL INDUSTRIES LIMITED",XT,STK,14.03,14.03,14.03,14.03,14.03,13.37,5,831,11658,
