SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,5446.35,5543.55,5365.35,5460.7,5460.7,5437,5765,18168,99189101,
500003,"AEGIS LOGISTICS LTD.",A,STK,717.9,717.9,696.9,702.75,702,699.45,1362,1317482,926182272,
500008,"Amara Raja Energy & Mobility L",A,STK,828.8,835,810.25,816.1,817.4,827.95,5357,55301,45148816,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,28.89,28.95,27.1,27.71,27.71,28.4,238,31113,875891,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,45.15,47,44.44,45.26,45.26,46.48,271,33402,1521070,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,2.88,2.94,2.84,2.87,2.85,2.89,40,9101,26239,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.73,4.98,4.62,4.69,4.67,4.83,79,21149,101122,
500016,"ARUNA HOTELS LTD.",X,STK,7.22,7.8,7.22,7.53,7.53,7.3,33,6499,48154,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,112.55,112.9,108.45,112.1,112.1,112.55,668,37602,4136295,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,303.75,311.8,302.9,310,310,303.25,116,3222,982898,
500027,"ATUL LTD.",A,STK,5996,5999,5875,5962.4,5955,5998.65,481,1072,6375526,
500028,"ATV PROJECTS INDIA LTD.",X,STK,35.49,35.49,33.7,33.77,34.3,34.17,106,11007,375247,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,404.15,404.35,393.7,396.6,396,404,1022,5248,2086392,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,15.62,16.18,15.58,16.07,16.07,16.2,749,286131,4544102,
500033,"FORCE MOTORS LTD.",A,STK,18720.05,19354,18401.2,19214.5,19214.5,18801.75,2041,5553,103964016,
500034,"BAJAJ FINANCE LIMITED",A,STK,889.65,909,888.05,904.35,904.35,903.45,16433,429701,387104018,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,423.35,423.55,414.35,419.8,423.1,421.4,381,9592,4029304,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,599.25,599.25,562.3,592.75,591,596.1,1834,25513,14735481,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1247.8,1247.8,1185.05,1195.95,1202.35,1230.45,892,9268,11161139,
500042,"BASF INDIA LTD.",A,STK,3625.25,3655.7,3570,3629.5,3628,3649.95,338,1355,4894905,
500043,"BATA INDIA LTD.",A,STK,864.2,865.9,846.6,863.05,862.8,864.15,501,4519,3860323,
500048,"BEML LTD.",A,STK,1701.8,1746,1648.8,1734.75,1734.75,1688.35,2675,30358,51567796,
