SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,"ABB INDIA LIMITED",A,STK,6413.65,6555,6337.4,6394.6,6394.6,6412.5,12251,111497,716188337,
500003,"AEGIS LOGISTICS LTD.",A,STK,636,638.4,600,602.25,602.25,638.4,3525,57680,35409887,
500008,"Amara Raja Energy & Mobility L",A,STK,799.15,799.15,769.15,774.05,774.05,789.1,1933,29714,23152025,
500009,"AMBALAL SARABHAI ENTERPRISES L",X,STK,24.33,28,24.33,27.02,27.02,24.81,604,298446,7794632,
500012,"ANDHRA PETROCHEMICALS LTD.",X,STK,38.99,38.99,37.49,38.04,38.38,38.79,401,84530,3224581,
500013,"ANSAL PROPERTIES & INFRASTRUCT",Z,STK,3.6,3.6,3.59,3.59,3.59,3.66,6,1100,3950,
500014,"UTIQUE ENTERPRISES LIMITED",X,STK,4.25,4.45,4.15,4.26,4.22,4.36,36,3330,14135,
500016,"ARUNA HOTELS LTD.",X,STK,7.88,7.98,7.12,7.38,7.29,7.5,46,17215,132871,
500020,"BOMBAY DYEING & MFG.CO.LTD.",A,STK,108.45,108.45,103.95,104.35,104.35,108.75,867,250211,26193424,
500023,"ASIAN HOTELS (NORTH) LIMITED",B,STK,302.6,311.55,290.65,294.5,294.5,304.1,161,1137,342116,
500027,"ATUL LTD.",A,STK,6250,6533.75,5985,6461.15,6461.15,6300.95,1536,4788,30484889,
500028,"ATV PROJECTS INDIA LTD.",X,STK,32.3,32.3,30.29,30.72,30.86,31.64,182,15591,481792,
500031,"BAJAJ ELECTRICALS LTD.",A,STK,403.95,403.95,365,374.15,374.15,385.35,978,23993,9082351,
500032,"BAJAJ HINDUSTHAN SUGAR LIMITED",A,STK,16.52,16.73,15.91,16.17,16.17,16.54,1416,642273,10436426,
500033,"FORCE MOTORS LTD.",A,STK,21403,21545.85,20101.8,20260.95,20400,21549.5,3981,13086,271754140,
500034,"BAJAJ FINANCE LIMITED",A,STK,860.05,868.1,849.15,855.05,855.05,863.55,14360,362271,311284323,
500038,"BALRAMPUR CHINI MILLS LTD.",A,STK,513.15,513.15,482.8,485.8,485.8,507.85,838,40259,19970906,
500039,"BANCO PRODUCTS (INDIA) LTD.",A,STK,575.75,575.75,537.1,550.6,550.6,575.75,1545,33901,18541991,
500040,"ADITYA BIRLA REAL ESTATE LIMIT",A,STK,1190.3,1190.7,1125.1,1138.6,1147.6,1190.3,1048,186782,217151167,
500041,"BANNARI AMMAN SUGARS LTD.",B,STK,3620.7,3620.7,3600,3600,3600,3550,3,4,14420,
