DATE|SCRIP CODE|DELIVERY QTY|DELIVERY VAL|DAY'S VOLUME|DAY'S TURNOVER|DELV. PER.
01122025|961804|0000000000000150|0000000000183600|0000000000000159|0000000000194016|094.34
01122025|961810|0000000000000167|0000000000204993|0000000000000240|0000000000293017|069.58
01122025|961813|0000000000000090|0000000000117180|0000000000000090|0000000000117180|100.00
01122025|961816|0000000000000500|0000000000655000|0000000000000500|0000000000655039|100.00
01122025|961821|0000000000000104|0000000000121160|0000000000000104|0000000000121160|100.00
01122025|961826|0000000000000505|0000000000605995|0000000000000505|0000000000601004|100.00
01122025|961839|0000000000000001|0000000000001160|0000000000000001|0000000000001160|100.00
01122025|961863|0000000000000317|0000000000354974|0000000000000317|0000000000355220|100.00
01122025|961865|0000000000000198|0000000000247500|0000000000000198|0000000000247500|100.00
01122025|961885|0000000000000600|0000000000697800|0000000000000600|0000000000697650|100.00
01122025|972655|0000000000000030|0000000001289820|0000000000000030|0000000001285940|100.00
01122025|972657|0000000000000100|0000000001036000|0000000000000100|0000000001036742|100.00
01122025|972715|0000000000000006|0000000000099000|0000000000000006|0000000000099000|100.00
01122025|972722|0000000000000004|0000000000020800|0000000000000004|0000000000020800|100.00
01122025|973491|0000000000001000|0000000000762840|0000000000001010|0000000000769628|099.01
01122025|974286|0000000000000001|0000000001053700|0000000000000001|0000000001053700|100.00
01122025|974451|0000000000000001|0000000001002000|0000000000000001|0000000001002000|100.00
01122025|974595|0000000000000003|0000000000322983|0000000000000003|0000000000322983|100.00
01122025|974634|0000000000000015|0000000001941000|0000000000000015|0000000001942200|100.00
01122025|974635|0000000000000337|0000000043834938|0000000000000337|0000000043834842|100.00
01122025|974654|0000000000000001|0000000000100700|0000000000000001|0000000000100700|100.00
01122025|974946|0000000000000002|0000000000184400|0000000000000002|0000000000184400|100.00
01122025|974963|0000000000000002|0000000000213500|0000000000000002|0000000000210250|100.00
01122025|975000|0000000000000002|0000000000210000|0000000000000002|0000000000209999|100.00
01122025|975032|0000000000000001|0000000000099900|0000000000000001|0000000000099900|100.00
01122025|975107|0000000000000002|0000000000201500|0000000000000002|0000000000201250|100.00
01122025|975229|0000000000000002|0000000000197000|0000000000000002|0000000000197000|100.00
01122025|975280|0000000000000003|0000000000307867|0000000000000003|0000000000305622|100.00
01122025|975331|0000000000000004|0000000000202800|0000000000000004|0000000000202800|100.00
01122025|975335|0000000000000001|0000000000102050|0000000000000001|0000000000102050|100.00
01122025|975375|0000000000000030|0000000002954235|0000000000000030|0000000002952681|100.00
01122025|975428|0000000000000002|0000000000197581|0000000000000002|0000000000197580|100.00
01122025|975437|0000000000000007|0000000000700574|0000000000000007|0000000000700574|100.00
01122025|975454|0000000000000015|0000000001801200|0000000000000021|0000000002521600|071.43
01122025|975562|0000000000000001|0000000000099571|0000000000000001|0000000000099570|100.00
