SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
538928,"Karnavati Finance Limited",X,STK,1.49,1.56,1.4,1.46,1.47,1.47,77,28926,42546,
538935,"Abhishek Finlease limited",X,STK,43.61,43.61,41.56,41.56,41.56,43.61,2,9,384,
538942,"Mercantile Ventures Limited",X,STK,25.19,25.19,23.8,24.28,24.45,25.19,54,4021,97843,
538943,"Sonal Mercantile Limited",X,STK,99,102.9,98.45,98.55,98.45,103.66,8,116,11447,
538952,"Abhinav Leasing & Finance Limi",X,STK,1.26,1.26,1.26,1.26,1.26,1.27,21,5239,6601,
538961,"GENUS PAPER & BOARDS LIMITED",B,STK,13.35,14.32,13.35,14.16,14.32,14.33,25,1822,25809,
538962,"Minda Corporation Limited",A,STK,586.75,587.05,575.75,581.05,581.05,586.75,880,17142,9950840,
538964,"Mercury Laboratories Limited",X,STK,918,919,845,845.55,845,888.45,23,179,151967,
538965,"Concord Drugs Limited",X,STK,86.03,86.03,82.27,83.36,83.36,84.34,102,4653,390205,
538970,"WARDWIZARD INNOVATIONS AND MOB",X,STK,9.92,9.92,9.58,9.73,9.73,9.88,2297,1071146,10368187,
538975,"Shree Securities Ltd.",X,STK,0.26,0.27,0.26,0.27,0.27,0.26,403,1544295,410296,
538979,"Greenlam Industries Ltd",B,STK,249.9,262.05,246.5,252.3,251.65,249.9,167,3751,956711,
538987,"TALBROS ENGINEERING LIMITED",X,STK,628.8,653.5,628,649.35,651,621.4,70,1236,792802,
539006,"PTC Industries Ltd.",A,STK,17676.3,18210.35,17676.3,18158.05,18200,18031,113,238,4299886,
539011,"CHENNAI FERROUS INDUSTRIES LIM",X,STK,107.3,112.8,107.1,108.8,108.8,109.95,39,1006,109501,
539012,"Megri Soft Limited",X,STK,102.5,102.5,95.5,99.8,99.8,102.5,16,1273,123556,
539013,"GITA RENEWABLE ENERGY LIMITED",X,STK,97.5,97.5,94.6,96,96,97.1,59,745,71427,
539014,"Kalpa Commercial Limited",XT,STK,10.13,10.13,10.13,10.13,10.13,10.13,2,12,121,
539016,"Neil Industries Ltd.",X,STK,7.73,8.19,7.32,7.52,7.96,7.66,27,936,7191,
539017,"STAR HOUSING FINANCE LIMITED",X,STK,12.05,12.67,11.66,11.87,12.2,12.03,496,275816,3353108,
539018,"Beekay Steel Industries Ltd.",B,STK,421.7,444.9,416.05,436.55,439,421.7,52,1081,458547,
539031,"SBI Mutual Fund",A,STK,303,303.63,302.4,302.4,302.4,301.94,12,2608,789680,
539032,"Fraser And Company Limited",X,STK,7.6,7.6,7.09,7.09,7.09,7.4,16,46203,332026,
539040,"Tirupati Tyres Ltd.",X,STK,8.56,8.7,8.45,8.51,8.51,8.55,184,15549,133101,
539041,"GANESHA ECOVERSE LIMITED",M,STK,29.03,30.22,29.03,30.22,30.22,30.22,3,3750,111812,
539042,"AGI Infra Limited",B,STK,270,274.75,270,271.5,272.25,273.85,127,5802,1580020,
539044,"Manaksia Steels Limited",B,STK,61.57,62.41,61.57,62.41,62.41,59.44,12,883,55054,
539045,"Manaksia Aluminium Company Ltd",T,STK,24.11,25.87,24.11,25.01,25.01,25.35,6,255,6463,
539046,"Manaksia Coated Metals & Indus",B,STK,140.9,146.8,140.45,146.2,145,143.75,202,13332,1917804,
539056,"IMAGICAAWORLD ENTERTAINMENT LI",B,STK,50.26,50.41,49.01,49.18,49.01,50.26,107,11520,576132,
539083,"Inox Wind Limited",A,STK,133.6,135.45,132.45,134.5,134.5,134,1454,177504,23789938,
539090,"Rajputana Investment and Finan",X,STK,40.99,40.99,36.05,39.2,39.2,38.5,24,1381,50964,
539091,"Consecutive Investments & Trad",X,STK,1.13,1.13,1.11,1.11,1.12,1.11,214,88082,98222,
539097,"UR SUGAR INDUSTRIES LIMITED",B,STK,4.01,4.18,4.01,4.04,4.03,4.09,22,6202,25272,
539099,"Athena Constructions Limited",M,STK,4.29,4.76,4.05,4.76,4.76,4.5,6,17500,73400,
539110,"Northlink Fiscal And Capital S",Z,STK,15.85,15.85,15.85,15.85,15.85,15.85,2,2,31,
539111,"SHESHADRI INDUSTRIES LIMITED",X,STK,20,20.25,19.36,19.38,19.36,20.37,15,1241,24200,
539112,"SAB INDUSTRIES LIMITED",X,STK,123.05,123.05,123.05,123.05,123.05,123.05,2,40,4922,
539113,"Paul Merchants Ltd.",X,STK,636.5,650,627.1,646.55,650,636.5,34,344,220355,
539115,"ALAN SCOTT ENTERPRISES LIMITED",XT,STK,335.8,335.8,324.75,335.8,335.8,319.85,125,16649,5583859,
539117,"Sujala Trading & Holding Ltd.",XT,STK,80.5,80.5,76.16,77.5,77.5,79.49,350,123468,9764541,
539118,"VRL Logistics Limited",B,STK,265.65,272.7,264,271.35,270,265.65,656,20735,5584505,
539120,"Bangalore Fort Farms Limited",XT,STK,67.5,67.5,61.27,61.27,61.27,64.49,12,1772,108688,
539121,"Palco Metals Limited",X,STK,116,122,116,119.15,119.1,122.8,35,950,114013,
539122,"Bodhtree Consulting Limited",XT,STK,26.99,26.99,25.46,25.6,25.6,26.8,77,24659,630474,
539123,"V B INDUSTRIES LIMITED",X,STK,7.45,7.79,7.15,7.75,7.75,7.45,47,12168,92393,
539124,"Survottam Finvest Ltd.",X,STK,22.88,22.88,21.63,22.85,22.85,21.96,32,7983,178947,
539126,"MEP Infrastructure Developers",Z,STK,2.2,2.23,2.2,2.21,2.2,2.21,40,116212,257790,
539132,"Wardwizard Foods and Beverages",XT,STK,10.17,10.75,10.16,10.16,10.16,10.69,465,495359,5059490,
539141,"UFO Moviez India Limited",B,STK,81.84,82.9,81.83,82.17,82.17,81.29,42,2996,247280,
539143,"PANTH INFINITY LIMITED",X,STK,9.51,9.51,9.02,9.25,9.26,9.23,125,38669,359519,
539148,"Shivalik Rasayan Ltd.",B,STK,403.15,409,402.8,404.05,403.6,402.55,60,785,318625,
539149,"Integrated Capital Services Lt",X,STK,4.13,4.35,3.95,4.29,4.17,4.15,11,731,3086,
539150,"PNC Infratech Limited",A,STK,251.9,251.9,246.2,247.45,247.95,251.8,820,20957,5211358,
539151,"Arfin India Limited",T,STK,56.6,58.2,56.6,57.46,58.2,57.95,35,2857,163865,
539167,"Virat Leasing Limited",X,STK,36.11,36.99,34.32,36.98,36.98,36.11,9,151,5252,
539174,"Helpage Finlease Ltd.",X,STK,27.85,27.85,24.05,25.42,26.6,28.51,198,34349,868750,
539175,"BLUEGOD ENTERTAINMENT LIMITED",XT,STK,3.06,3.18,3.06,3.18,3.18,3.12,242,6878964,21470389,
539176,"Hawa Engineers ltd.",X,STK,111.85,111.85,104.35,109.65,104.5,112.45,23,474,50940,
539177,"Authum Investment & Infrastruc",A,STK,2759.05,2762.95,2678.6,2710.85,2710.85,2742.15,674,6145,16623264,
539189,"Adhbhut Infrastructure Ltd.",X,STK,17.89,17.89,16.51,17.63,17.63,16.4,31,1381,23215,
539190,"Decillion Finance Ltd.",X,STK,59.5,59.5,59.5,59.5,59.5,59.6,3,5020,298690,
539195,"POCL ENTERPRISES LTD",X,STK,180,187.75,177,181.9,182.1,182.1,425,36114,6540157,
539196,"Amba Enterprises Ltd.",X,STK,172.05,178,171.65,173.9,173.1,171.35,149,10100,1772662,
539199,"SG FINSERVE LIMITED",B,STK,406.9,416.8,402.5,412.25,414.8,405.8,1139,34008,13974076,
539201,"SATIA INDUSTRIES LIMITED",B,STK,68.5,68.72,67.3,67.9,68,68.8,220,2304,156919,
539206,"GENOMIC VALLEY BIOTECH LIMITED",X,STK,30.85,31.98,28.11,30.66,30.66,30.92,26,1262,38012,
539216,"GARMENT MANTRA LIFESTYLE LIMIT",B,STK,1.51,1.55,1.51,1.54,1.54,1.51,195,183296,282028,
539217,"Srestha Finvest Limited",X,STK,0.33,0.33,0.32,0.33,0.33,0.33,686,4789800,1562133,
539219,"MAURIA UDYOG LIMITED",X,STK,12.02,12.35,11.94,12.11,12.18,12.01,110,53318,642875,
539220,"Mishka Exim Limited",XT,STK,45,46.9,45,46.9,46.9,45,3,27,1216,
539221,"Sportking India Ltd.",B,STK,89.05,95.62,89.05,95.01,94.55,95.48,76,10479,989828,
539222,"GROWINGTON VENTURES INDIA LIMI",T,STK,1.17,1.2,1.12,1.17,1.17,1.17,785,2701048,3102617,
539224,"HCKK Ventures Limited",X,STK,31.9,31.9,29.01,29.3,31.48,30.62,20,211,6402,
539226,"RUDRA GLOBAL INFRA PRODUCTS LI",X,STK,23.4,24.2,23.12,24.11,24.2,23.39,148,15995,379667,
539227,"Loyal Equipments Limited",X,STK,193,193.5,184,192.65,193.45,192.5,89,4795,912735,
539228,"Gala Global Products Limited",X,STK,2.39,2.41,2.34,2.38,2.39,2.35,98,26849,63952,
539251,"Balkrishna Paper Mills Ltd.",B,STK,21.65,22.01,21.38,21.77,21.78,21.26,33,1317,28509,
539252,"Shyam Century Ferrous Limited",B,STK,5.49,6.32,5.4,6.01,6.08,5.32,1096,338852,2028446,
539254,"Adani Energy Solutions Limited",A,STK,985.35,1000.35,979,994.55,992.4,983,1303,26853,26691017,
539255,"STAR DELTA TRANSFORMERS LIMITE",X,STK,647,663,619,625.1,636.2,624.3,184,2978,1893432,
539267,"SAMSRITA LABS LIMITED",X,STK,20.66,21.5,20.65,21.4,21.4,20.66,10,449,9566,
539268,"Syngene International Limited",A,STK,640.5,651.8,636.65,648.85,648.85,640.5,1434,26584,17100067,
539275,"Mangalam Seeds Limited",X,STK,151.05,157,151.05,151.7,151.35,156.7,28,383,58203,
539276,"Kaya Limited",B,STK,411.1,411.1,395,395.6,395,400.3,6,123,48966,
539277,"Alstone Textiles (India) Ltd",X,STK,0.34,0.35,0.34,0.34,0.34,0.35,2186,12498099,4249704,
539278,"Symbiox Investment & Trading C",XT,STK,2.84,2.84,2.75,2.77,2.77,2.85,17,9900,27239,
539287,"ORTIN GLOBAL LIMITED",B,STK,11.5,11.53,11.5,11.53,11.53,11.5,3,290,3342,
539288,"Avi Polymers Ltd.",XT,STK,32.94,32.94,32.94,32.94,32.94,31.38,64,70141,2310444,
539289,"Aurum PropTech Limited",B,STK,166.15,169.9,164,167.3,169.9,167.65,131,2564,426872,
539290,"Oswal Greentech Limited",B,STK,35.1,35.1,34.47,34.54,34.64,34.9,45,2134,74022,
539291,"Vasudhagama Enterprises Limite",Z,STK,3.36,3.36,3.1,3.22,3.22,3.26,39,27083,84909,
539300,"SUNRAKSHAKK INDUSTRIES INDIA L",X,STK,214.2,218,214.2,217.25,218,218.45,97,6147,1334765,
539301,"Arvind SmartSpaces Limited",B,STK,586,596,577.75,592.95,595,576.25,153,4982,2932840,
539302,"Power Mech Projects Limited",A,STK,2360.85,2394.4,2350,2377.55,2380,2360.85,662,3190,7574245,
